q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
3.0312400000e-01 9.5941200000e-04 7.6464755560e-05 
3.0684400000e-01 1.0145130000e-03 7.5899074186e-05 
3.1056300000e-01 9.7089800000e-04 7.5302489812e-05 
3.1428200000e-01 8.4913200000e-04 7.5053082148e-05 
3.1800200000e-01 8.7909100000e-04 7.4498472480e-05 
3.2172100000e-01 9.4978200000e-04 7.4154927154e-05 
3.2544000000e-01 9.6223900000e-04 7.3550359436e-05 
3.2916000000e-01 1.0467250000e-03 7.3229749096e-05 
3.3287900000e-01 9.9417400000e-04 7.2794264184e-05 
3.3659800000e-01 9.5006700000e-04 7.2167645979e-05 
3.4031800000e-01 1.0211340000e-03 7.1908494839e-05 
3.4403700000e-01 1.1020130000e-03 7.1736922415e-05 
3.4775600000e-01 9.5920000000e-04 7.1106308191e-05 
3.5147600000e-01 9.4424200000e-04 7.0479934011e-05 
3.5519500000e-01 1.1273940000e-03 7.0104789825e-05 
3.5891400000e-01 1.1636220000e-03 6.9771330313e-05 
3.6263400000e-01 1.1040930000e-03 6.9233157483e-05 
3.6635300000e-01 1.2043020000e-03 6.9037647737e-05 
3.7007200000e-01 1.1026410000e-03 6.8962971950e-05 
3.7379100000e-01 1.0555030000e-03 6.8490733535e-05 
3.7751100000e-01 9.8018800000e-04 6.7898565680e-05 
3.8123000000e-01 1.0267500000e-03 6.7582175296e-05 
3.8494900000e-01 1.0500200000e-03 6.7303837000e-05 
3.8866900000e-01 1.0984450000e-03 6.7050201042e-05 
3.9238800000e-01 1.1017030000e-03 6.6897532027e-05 
3.9610700000e-01 1.0878820000e-03 6.6559712652e-05 
3.9982700000e-01 1.0640770000e-03 6.6051051060e-05 
4.0354600000e-01 1.1173950000e-03 6.5742755004e-05 
