q[nm-1] (time=2017-08-25T18:36:42.335011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:43.440293+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:44.542474+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:45.533121+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:46.753507+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:47.744863+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:49.057906+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.052011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.932754+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:51.923383+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
2.9940500000e-01 5.4989400000e-03 8.6253747241e-05 
3.0312400000e-01 5.6116700000e-03 8.5978669847e-05 
3.0684400000e-01 5.6221700000e-03 8.5275113746e-05 
3.1056300000e-01 5.5262000000e-03 8.4529910899e-05 
3.1428200000e-01 5.4651300000e-03 8.4419424219e-05 
3.1800200000e-01 5.4618200000e-03 8.3752988220e-05 
3.2172100000e-01 5.5527100000e-03 8.3337058245e-05 
3.2544000000e-01 5.5766500000e-03 8.2710216711e-05 
3.2916000000e-01 5.5815600000e-03 8.2189292578e-05 
3.3287900000e-01 5.5219500000e-03 8.1686204748e-05 
3.3659800000e-01 5.5191700000e-03 8.1053608400e-05 
3.4031800000e-01 5.4475800000e-03 8.0464287376e-05 
3.4403700000e-01 5.4337300000e-03 8.0036454029e-05 
3.4775600000e-01 5.4628600000e-03 7.9733336254e-05 
3.5147600000e-01 5.5135400000e-03 7.9218486078e-05 
3.5519500000e-01 5.4661500000e-03 7.8344419399e-05 
3.5891400000e-01 5.5445300000e-03 7.8050281052e-05 
3.6263400000e-01 5.6634500000e-03 7.7834901376e-05 
3.6635300000e-01 5.6172700000e-03 7.7300756668e-05 
3.7007200000e-01 5.5165900000e-03 7.7262388538e-05 
3.7379100000e-01 5.4478000000e-03 7.6669403848e-05 
3.7751100000e-01 5.4210800000e-03 7.6157847514e-05 
3.8123000000e-01 5.4034200000e-03 7.5671827263e-05 
3.8494900000e-01 5.3886600000e-03 7.5251563276e-05 
3.8866900000e-01 5.3631600000e-03 7.4804774348e-05 
3.9238800000e-01 5.2983200000e-03 7.4466936846e-05 
3.9610700000e-01 5.1992800000e-03 7.3953568989e-05 
3.9982700000e-01 5.2567800000e-03 7.3579417902e-05 
4.0354600000e-01 5.3058200000e-03 7.3219677971e-05 
4.0726500000e-01 5.2711600000e-03 7.2797639643e-05 
4.1098500000e-01 5.1971900000e-03 7.2443627905e-05 
4.1470400000e-01 5.2257200000e-03 7.2106029250e-05 
4.1842300000e-01 5.2924300000e-03 7.1797611932e-05 
4.2214300000e-01 5.1728500000e-03 7.1336172023e-05 
4.2586200000e-01 5.1104800000e-03 7.0899890437e-05 
4.2958100000e-01 5.2759300000e-03 7.0666051622e-05 
4.3330100000e-01 5.3690500000e-03 7.0472764755e-05 
4.3702000000e-01 5.3916600000e-03 7.0186731712e-05 
4.4073900000e-01 5.3478000000e-03 6.9900497419e-05 
4.4445900000e-01 5.3282500000e-03 6.9698684439e-05 
4.4817800000e-01 5.3078400000e-03 6.9397933292e-05 
4.5189700000e-01 5.2744600000e-03 6.9046883460e-05 
4.5561700000e-01 5.2530900000e-03 6.8488671448e-05 
4.5933600000e-01 5.3039900000e-03 6.8229013557e-05 
4.6305500000e-01 5.2930800000e-03 6.8055884574e-05 
4.6677400000e-01 5.2978200000e-03 6.7682551131e-05 
4.7049400000e-01 5.2986800000e-03 6.7417285535e-05 
4.7421300000e-01 5.3189500000e-03 6.7148582609e-05 
4.7793200000e-01 5.2991500000e-03 6.6891244444e-05 
4.8165200000e-01 5.2465000000e-03 6.6481479357e-05 
4.8537100000e-01 5.2263500000e-03 6.6225590335e-05 
4.8909000000e-01 5.2586900000e-03 6.6891027601e-05 
4.9281000000e-01 5.3048800000e-03 6.6522978479e-05 
4.9652900000e-01 5.3387400000e-03 6.6215693646e-05 
5.0024800000e-01 5.3490200000e-03 6.5812563223e-05 
5.0396800000e-01 5.3516600000e-03 6.5450762235e-05 
5.0768700000e-01 5.3084800000e-03 6.5230699017e-05 
5.1140600000e-01 5.3858500000e-03 6.4926222369e-05 
5.1512600000e-01 5.3715600000e-03 6.4740614264e-05 
5.1884500000e-01 5.3317300000e-03 6.4489918542e-05 
5.2256400000e-01 5.3366700000e-03 6.4186763660e-05 
5.2628400000e-01 5.3661700000e-03 6.3921837755e-05 
5.3000300000e-01 5.3450700000e-03 6.3503998791e-05 
5.3372200000e-01 5.3981300000e-03 6.3263686602e-05 
5.3744100000e-01 5.3534300000e-03 6.3297582125e-05 
5.4116100000e-01 5.3561900000e-03 6.3124075841e-05 
5.4488000000e-01 5.3446700000e-03 6.2716067630e-05 
5.4859900000e-01 5.3098600000e-03 6.2509980083e-05 
5.5231900000e-01 5.3480100000e-03 6.2482754130e-05 
5.5603800000e-01 5.3511300000e-03 6.2134654341e-05 
5.5975700000e-01 5.3080400000e-03 6.1811210908e-05 
5.6347700000e-01 5.3931600000e-03 6.1616361977e-05 
5.6719600000e-01 5.4671300000e-03 6.1479275492e-05 
5.7091500000e-01 5.4820500000e-03 6.1280631319e-05 
5.7463500000e-01 5.4276700000e-03 6.1079054826e-05 
5.7835400000e-01 5.4228500000e-03 6.0675502718e-05 
5.8207300000e-01 5.4421400000e-03 6.0477807726e-05 
5.8579300000e-01 5.4613500000e-03 6.0489079471e-05 
5.8951200000e-01 5.3949400000e-03 6.0168388136e-05 
5.9323100000e-01 5.3998800000e-03 5.9921220667e-05 
5.9695100000e-01 5.4412400000e-03 5.9784682866e-05 
6.0067000000e-01 5.4468600000e-03 5.9689996452e-05 
6.0438900000e-01 5.3453600000e-03 5.9338543776e-05 
6.0810900000e-01 5.3910900000e-03 5.9196465792e-05 
6.1182800000e-01 5.4362600000e-03 5.9072719003e-05 
6.1554700000e-01 5.4411400000e-03 5.8868316258e-05 
6.1926700000e-01 5.4419300000e-03 5.8636672718e-05 
6.2298600000e-01 5.4521600000e-03 5.8492372483e-05 
6.2670500000e-01 5.4280200000e-03 5.8275646964e-05 
6.3042400000e-01 5.4765400000e-03 5.8193092602e-05 
6.3414400000e-01 5.4708600000e-03 5.7996570973e-05 
6.3786300000e-01 5.3915500000e-03 5.7765217979e-05 
6.4158200000e-01 5.3289500000e-03 5.7581357200e-05 
6.4530200000e-01 5.4497800000e-03 5.7509338007e-05 
6.4902100000e-01 5.5092800000e-03 5.7389772969e-05 
6.5274000000e-01 5.5441800000e-03 5.7341312496e-05 
6.5646000000e-01 5.5018200000e-03 5.7104866092e-05 
6.6017900000e-01 5.4529800000e-03 5.6835810384e-05 
6.6389800000e-01 5.4527100000e-03 5.6626298758e-05 
6.6761800000e-01 5.5371800000e-03 5.6488715445e-05 
6.7133700000e-01 5.5590300000e-03 5.6323878019e-05 
6.7505600000e-01 5.5761100000e-03 5.6294051917e-05 
6.7877600000e-01 5.5925500000e-03 5.6152083095e-05 
6.8249500000e-01 5.5240200000e-03 5.5883806086e-05 
6.8621400000e-01 5.5016300000e-03 5.5705915865e-05 
6.8993400000e-01 5.4363600000e-03 5.5606791522e-05 
6.9365300000e-01 5.4856600000e-03 5.5546064910e-05 
6.9737200000e-01 5.4899900000e-03 5.5338613963e-05 
7.0109200000e-01 5.4602600000e-03 5.5049831388e-05 
7.0481100000e-01 5.5678300000e-03 5.4997672308e-05 
7.0853000000e-01 5.6615200000e-03 5.5106859908e-05 
7.1224900000e-01 5.6389600000e-03 5.4812769676e-05 
7.1596900000e-01 5.5187000000e-03 5.4438456219e-05 
7.1968800000e-01 5.5669600000e-03 5.4371228582e-05 
7.2340700000e-01 5.6267300000e-03 5.4378796232e-05 
7.2712700000e-01 5.6085000000e-03 5.4276937514e-05 
7.3084600000e-01 5.6088100000e-03 5.4113847089e-05 
7.3456500000e-01 5.6028500000e-03 5.3956861533e-05 
7.3828500000e-01 5.5133600000e-03 5.3745936710e-05 
7.4200400000e-01 5.5979500000e-03 5.4053548056e-05 
7.4572300000e-01 5.6972800000e-03 5.4046906177e-05 
7.4944300000e-01 5.6739400000e-03 5.3836721477e-05 
7.5316200000e-01 5.6323900000e-03 5.3617775391e-05 
7.5688100000e-01 5.6926300000e-03 5.3511114655e-05 
7.6060100000e-01 5.7170400000e-03 5.3337313269e-05 
7.6432000000e-01 5.7029900000e-03 5.3319950489e-05 
7.6803900000e-01 5.6195400000e-03 5.3076537454e-05 
7.7175900000e-01 5.6024500000e-03 5.2866380863e-05 
7.7547800000e-01 5.6690500000e-03 5.2755186431e-05 
7.7919700000e-01 5.6889600000e-03 5.2757345379e-05 
7.8291600000e-01 5.6924700000e-03 5.2654628114e-05 
7.8663600000e-01 5.6468100000e-03 5.2447237943e-05 
7.9035500000e-01 5.7017600000e-03 5.2293949025e-05 
7.9407400000e-01 5.7834900000e-03 5.2246289461e-05 
7.9779400000e-01 5.8549900000e-03 5.2173463925e-05 
8.0151300000e-01 5.8069100000e-03 5.1984006382e-05 
8.0523200000e-01 5.7282900000e-03 5.1796537185e-05 
8.0895200000e-01 5.7527400000e-03 5.1669463945e-05 
8.1267100000e-01 5.7489500000e-03 5.1555761927e-05 
8.1639000000e-01 5.8083000000e-03 5.1556245433e-05 
8.2011000000e-01 5.8558800000e-03 5.1447341465e-05 
8.2382900000e-01 5.8239300000e-03 5.1305414686e-05 
8.2754800000e-01 5.8281500000e-03 5.1211630019e-05 
8.3126800000e-01 5.8259400000e-03 5.1122844523e-05 
8.3498700000e-01 5.8194800000e-03 5.0949393031e-05 
8.3870600000e-01 5.7759800000e-03 5.0766084023e-05 
8.4242600000e-01 5.7830400000e-03 5.0755767166e-05 
8.4614500000e-01 5.8346500000e-03 5.0656786068e-05 
8.4986400000e-01 5.8901900000e-03 5.0528402887e-05 
8.5358400000e-01 5.8731700000e-03 5.0681629649e-05 
8.5730300000e-01 5.8738000000e-03 5.0588134477e-05 
8.6102200000e-01 5.9430500000e-03 5.0438037181e-05 
8.6474200000e-01 5.9259700000e-03 5.0264815842e-05 
8.6846100000e-01 5.9058800000e-03 5.0170594168e-05 
8.7218000000e-01 5.8774800000e-03 5.0055767337e-05 
8.7589900000e-01 5.9210700000e-03 4.9990770100e-05 
8.7961900000e-01 5.9045200000e-03 4.9910013035e-05 
8.8333800000e-01 5.9127200000e-03 4.9782972024e-05 
8.8705700000e-01 5.8159000000e-03 4.9586666251e-05 
8.9077700000e-01 5.8720800000e-03 4.9511327999e-05 
8.9449600000e-01 5.9315300000e-03 4.9354476052e-05 
8.9821500000e-01 6.0062600000e-03 4.9463488138e-05 
9.0193500000e-01 5.9241500000e-03 4.9297440699e-05 
9.0565400000e-01 5.9740300000e-03 4.9270522733e-05 
9.0937300000e-01 5.9643800000e-03 4.9200529819e-05 
9.1309300000e-01 5.9482100000e-03 4.9066654979e-05 
9.1681200000e-01 5.9008300000e-03 4.8897492813e-05 
9.2053100000e-01 5.8920100000e-03 4.8737290576e-05 
9.2425100000e-01 5.9709400000e-03 4.8635946181e-05 
9.2797000000e-01 6.0510000000e-03 4.8658081867e-05 
9.3168900000e-01 5.9485800000e-03 4.8502342268e-05 
9.3540900000e-01 5.9426200000e-03 4.8503884769e-05 
