name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
100_15.dat;0.1942E+00;0.7313E-02;0.1727E+02;0.1523E+01;0.8253E+01;0.7796E+00;0.7079E-01;0.2018E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7478E+02;0.4565E+01;0.2704E+02;0.2326E+01;0.2797E-03;0.1693E-03;0.4000E+01;*FIXED
100_16.dat;0.1869E+00;0.4704E-02;0.1495E+02;0.1348E+01;0.9429E+01;0.7090E+00;0.1121E+00;0.2787E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8723E+02;0.4023E+01;0.2838E+02;0.2030E+01;0.5080E-03;0.1504E-03;0.4000E+01;*FIXED
100_17.dat;0.1871E+00;0.5464E-02;0.1367E+02;0.1537E+01;0.1006E+02;0.8037E+00;0.1425E+00;0.4029E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7724E+02;0.3869E+01;0.2709E+02;0.1955E+01;0.4265E-03;0.1449E-03;0.4000E+01;*FIXED
100_18.dat;0.1849E+00;0.4721E-02;0.1722E+02;0.1145E+01;0.8329E+01;0.6020E+00;0.7342E-01;0.1604E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8519E+02;0.4085E+01;0.2607E+02;0.1860E+01;0.3974E-03;0.1439E-03;0.4000E+01;*FIXED
100_19.dat;0.1881E+00;0.4815E-02;0.1763E+02;0.1155E+01;0.8013E+01;0.6085E+00;0.6582E-01;0.1475E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8570E+02;0.4112E+01;0.2663E+02;0.1898E+01;0.4387E-03;0.1469E-03;0.4000E+01;*FIXED
100_20.dat;0.1895E+00;0.6068E-02;0.1752E+02;0.1323E+01;0.8074E+01;0.6877E+00;0.6722E-01;0.1678E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7717E+02;0.3835E+01;0.2884E+02;0.2140E+01;0.3560E-03;0.1497E-03;0.4000E+01;*FIXED
100_21.dat;0.1852E+00;0.4754E-02;0.1504E+02;0.1421E+01;0.9462E+01;0.7468E+00;0.1116E+00;0.2911E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9049E+02;0.4401E+01;0.2783E+02;0.2109E+01;0.5328E-03;0.1569E-03;0.4000E+01;*FIXED
100_22.dat;0.1750E+00;0.5086E-02;0.1744E+02;0.1147E+01;0.8306E+01;0.6041E+00;0.7262E-01;0.1571E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8082E+02;0.5109E+01;0.2072E+02;0.1737E+01;-0.2206E-04;0.1466E-03;0.4000E+01;*FIXED
100_23.dat;0.1658E+00;0.4241E-02;0.2143E+02;0.8924E+00;0.6497E+01;0.4938E+00;0.3443E-01;0.6557E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9606E+02;0.6512E+01;0.1843E+02;0.1713E+01;0.1124E-03;0.1542E-03;0.4000E+01;*FIXED
100_24.dat;0.1834E+00;0.2388E-01;0.1996E+02;0.4890E+01;0.6764E+01;0.2644E+01;0.4049E-01;0.4033E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8130E+02;0.1789E+02;0.2723E+02;0.8966E+01;0.5997E-03;0.6533E-03;0.4000E+01;*FIXED
100_25.dat;0.1811E+00;0.5668E-02;0.1992E+02;0.1044E+01;0.7131E+01;0.5476E+00;0.4452E-01;0.9081E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7813E+02;0.4796E+01;0.2200E+02;0.1805E+01;0.7171E-03;0.1481E-03;0.4000E+01;*FIXED
100_26.dat;0.1817E+00;0.6782E-02;0.1909E+02;0.1328E+01;0.7358E+01;0.6970E+00;0.5044E-01;0.1305E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7631E+02;0.5122E+01;0.2358E+02;0.2160E+01;0.3893E-03;0.1651E-03;0.4000E+01;*FIXED
100_27.dat;0.1804E+00;0.5369E-02;0.1815E+02;0.1151E+01;0.7929E+01;0.6030E+00;0.6230E-01;0.1351E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8015E+02;0.4095E+01;0.2667E+02;0.2025E+01;0.4729E-03;0.1475E-03;0.4000E+01;*FIXED
100_28.dat;0.1743E+00;0.5618E-02;0.1775E+02;0.1256E+01;0.8156E+01;0.6609E+00;0.6828E-01;0.1606E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8086E+02;0.5744E+01;0.2039E+02;0.1897E+01;0.3586E-03;0.1619E-03;0.4000E+01;*FIXED
100_29.dat;0.1745E+00;0.4480E-02;0.1682E+02;0.1127E+01;0.8625E+01;0.5970E+00;0.8184E-01;0.1707E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8710E+02;0.4665E+01;0.2369E+02;0.1837E+01;0.2899E-03;0.1456E-03;0.4000E+01;*FIXED
100_30.dat;0.1767E+00;0.4869E-02;0.1921E+02;0.1053E+01;0.7376E+01;0.5613E+00;0.5040E-01;0.1054E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8388E+02;0.4636E+01;0.2337E+02;0.1826E+01;0.3733E-03;0.1458E-03;0.4000E+01;*FIXED
