q[nm-1] (time=2017-08-27T11:27:39.330466+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:40.545153+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.318206+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.978510+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:42.864010+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:43.631777+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:44.403655+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.176872+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.950328+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:47.272715+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/10 
7.4853700000e-01 4.2230260000e-03 1.4088415693e-05 
7.5783500000e-01 4.2176860000e-03 1.3993159019e-05 
7.6713400000e-01 4.2295520000e-03 1.3912309285e-05 
7.7643300000e-01 4.2509180000e-03 1.3859667872e-05 
7.8573100000e-01 4.2383970000e-03 1.3757802697e-05 
7.9503000000e-01 4.2208830000e-03 1.3650105623e-05 
8.0432800000e-01 4.2270410000e-03 1.3579531279e-05 
8.1362700000e-01 4.2024830000e-03 1.3465251352e-05 
8.2292600000e-01 4.1884580000e-03 1.3367573778e-05 
8.3222400000e-01 4.2130170000e-03 1.3328107761e-05 
8.4152300000e-01 4.2151010000e-03 1.3257020551e-05 
8.5082100000e-01 4.2280760000e-03 1.3202705745e-05 
8.6012000000e-01 4.2467520000e-03 1.3195312662e-05 
8.6941900000e-01 4.2433330000e-03 1.3115932561e-05 
8.7871700000e-01 4.2237500000e-03 1.3008166530e-05 
8.8801600000e-01 4.2343040000e-03 1.2951257372e-05 
8.9731400000e-01 4.2302530000e-03 1.2877835995e-05 
9.0661300000e-01 4.2168740000e-03 1.2792312543e-05 
9.1591200000e-01 4.2392810000e-03 1.2757212895e-05 
9.2521000000e-01 4.2386720000e-03 1.2686629949e-05 
9.3450900000e-01 4.2268200000e-03 1.2602831001e-05 
9.4380700000e-01 4.2306040000e-03 1.2543421758e-05 
9.5310600000e-01 4.2182570000e-03 1.2463665859e-05 
9.6240500000e-01 4.2159590000e-03 1.2398919989e-05 
9.7170300000e-01 4.2158370000e-03 1.2338590660e-05 
9.8100200000e-01 4.2321750000e-03 1.2333858513e-05 
9.9030000000e-01 4.2068180000e-03 1.2235569084e-05 
9.9959900000e-01 4.2175060000e-03 1.2189002991e-05 
1.0089000000e+00 4.2309550000e-03 1.2147387578e-05 
1.0182000000e+00 4.2285380000e-03 1.2086613139e-05 
1.0274900000e+00 4.2271720000e-03 1.2030281441e-05 
1.0367900000e+00 4.2518620000e-03 1.2005566149e-05 
1.0460900000e+00 4.2427030000e-03 1.1934734012e-05 
1.0553900000e+00 4.2283140000e-03 1.1861356745e-05 
