name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
75ave.dat;0.1256E+00;0.1041E-02;0.1760E+02;0.3686E+00;0.7964E+01;0.2004E+00;0.6734E-01;0.5015E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9153E+02;0.1887E+01;0.2036E+02;0.5834E+00;0.3013E-03;0.3843E-04;0.4000E+01;*FIXED
75_01.dat;0.9044E-01;0.2869E-02;0.2334E+02;0.8368E+00;0.5991E+01;0.4807E+00;0.2705E-01;0.5048E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9332E+02;0.6569E+01;0.2043E+02;0.2215E+01;0.2170E-03;0.1081E-03;0.4000E+01;*FIXED
75_02.dat;0.1203E+00;0.2953E-02;0.2150E+02;0.8222E+00;0.6137E+01;0.4628E+00;0.3104E-01;0.5673E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8467E+02;0.4379E+01;0.2136E+02;0.1551E+01;0.2719E-03;0.9280E-04;0.4000E+01;*FIXED
75_03.dat;0.1238E+00;0.2716E-02;0.1832E+02;0.9624E+00;0.7637E+01;0.5293E+00;0.5912E-01;0.1125E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9492E+02;0.4666E+01;0.2326E+02;0.1724E+01;0.3892E-03;0.1020E-03;0.4000E+01;*FIXED
75_04.dat;0.1227E+00;0.2608E-02;0.1821E+02;0.9374E+00;0.7735E+01;0.5163E+00;0.6113E-01;0.1128E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9874E+02;0.5690E+01;0.1955E+02;0.1606E+01;0.1736E-03;0.1055E-03;0.4000E+01;*FIXED
75_05.dat;0.1255E+00;0.2249E-02;0.1952E+02;0.7796E+00;0.6934E+01;0.4389E+00;0.4519E-01;0.7528E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1014E+03;0.4685E+01;0.2106E+02;0.1459E+01;0.3588E-03;0.9251E-04;0.4000E+01;*FIXED
75_06.dat;0.1278E+00;0.2558E-02;0.1648E+02;0.1017E+01;0.8432E+01;0.5533E+00;0.8204E-01;0.1601E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9542E+02;0.4532E+01;0.2273E+02;0.1589E+01;0.4322E-03;0.9822E-04;0.4000E+01;*FIXED
75_07.dat;0.1235E+00;0.2288E-02;0.2135E+02;0.7847E+00;0.6176E+01;0.4529E+00;0.3179E-01;0.5732E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1117E+03;0.5385E+01;0.2184E+02;0.1739E+01;0.4716E-03;0.1029E-03;0.4000E+01;*FIXED
75_08.dat;0.1181E+00;0.2085E-02;0.2068E+02;0.7078E+00;0.6604E+01;0.4042E+00;0.3820E-01;0.5825E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1089E+03;0.5638E+01;0.1869E+02;0.1479E+01;0.4353E-03;0.9505E-04;0.4000E+01;*FIXED
75_09.dat;0.1274E+00;0.2927E-02;0.1993E+02;0.9065E+00;0.6782E+01;0.5055E+00;0.4182E-01;0.8011E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9272E+02;0.5588E+01;0.1903E+02;0.1552E+01;0.2307E-03;0.1079E-03;0.4000E+01;*FIXED
