q[nm-1] (time=2017-08-27T11:40:00.871726+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:54:52.854367+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:55:52.482363+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:08:43.452803+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:17:35.706876+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:22:49.829196+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:50:23.501924+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:47:59.052968+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:56:52.607445+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:04:55.337465+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:14:11.471711+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:17:36.136098+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:36:17.772962+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:37:02.188043+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:42:13.212079+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:52:27.314072+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:11:56.542253+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:00.535366+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:59.057718+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:48:48.998839+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:51:33.765057+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:56:32.116173+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:08:33.136855+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:14:06.321496+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/24 
5.8116200000e-01 4.2561783333e-03 1.8099555994e-05 
5.9046100000e-01 4.2744245833e-03 1.8031031482e-05 
5.9975900000e-01 4.2762429167e-03 1.7950187065e-05 
6.0905800000e-01 4.2572529167e-03 1.7656228345e-05 
6.1835700000e-01 4.2478791667e-03 1.7444927381e-05 
6.2765500000e-01 4.2469862500e-03 1.7371560918e-05 
6.3695400000e-01 4.2295637500e-03 1.7206496466e-05 
6.4625200000e-01 4.2304620833e-03 1.7092203527e-05 
6.5555100000e-01 4.2422337500e-03 1.6981329574e-05 
6.6484900000e-01 4.2372991667e-03 1.6799473688e-05 
6.7414800000e-01 4.2131933333e-03 1.6628776878e-05 
6.8344700000e-01 4.2227466667e-03 1.6621417417e-05 
6.9274500000e-01 4.2471400000e-03 1.6620031256e-05 
7.0204400000e-01 4.2019370833e-03 1.6324746428e-05 
7.1134200000e-01 4.2130800000e-03 1.6189144523e-05 
7.2064100000e-01 4.2385687500e-03 1.6219565022e-05 
7.2994000000e-01 4.2450704167e-03 1.6154614170e-05 
7.3923800000e-01 4.2387070833e-03 1.5994941708e-05 
7.4853700000e-01 4.2066508333e-03 1.5805794806e-05 
7.5783500000e-01 4.2233512500e-03 1.5806804817e-05 
7.6713400000e-01 4.2141695833e-03 1.5679840407e-05 
7.7643300000e-01 4.2003579167e-03 1.5565606858e-05 
7.8573100000e-01 4.1892129167e-03 1.5375278489e-05 
7.9503000000e-01 4.2126091667e-03 1.5308996283e-05 
8.0432800000e-01 4.2275279167e-03 1.5261587619e-05 
8.1362700000e-01 4.1983300000e-03 1.5179225443e-05 
8.2292600000e-01 4.1937645833e-03 1.5075436315e-05 
8.3222400000e-01 4.2025216667e-03 1.4990628071e-05 
8.4152300000e-01 4.1947229167e-03 1.4886822411e-05 
8.5082100000e-01 4.1955029167e-03 1.4861809957e-05 
8.6012000000e-01 4.1992154167e-03 1.4792498699e-05 
8.6941900000e-01 4.2082825000e-03 1.4632262530e-05 
8.7871700000e-01 4.1999216667e-03 1.4569003060e-05 
8.8801600000e-01 4.2156754167e-03 1.4624095051e-05 
8.9731400000e-01 4.1981266667e-03 1.4433480978e-05 
9.0661300000e-01 4.1903979167e-03 1.4321790451e-05 
9.1591200000e-01 4.1722829167e-03 1.4228272580e-05 
9.2521000000e-01 4.1675441667e-03 1.4154286812e-05 
9.3450900000e-01 4.1747429167e-03 1.4082178948e-05 
9.4380700000e-01 4.2017375000e-03 1.4123523805e-05 
9.5310600000e-01 4.2034433333e-03 1.4062700061e-05 
9.6240500000e-01 4.2109520833e-03 1.3985765645e-05 
9.7170300000e-01 4.2087433333e-03 1.3827870375e-05 
9.8100200000e-01 4.2502945833e-03 1.3945259297e-05 
9.9030000000e-01 4.2312958333e-03 1.3846581573e-05 
9.9959900000e-01 4.1995437500e-03 1.3697476957e-05 
1.0089000000e+00 4.1983683333e-03 1.3653874866e-05 
1.0182000000e+00 4.1772729167e-03 1.3514461824e-05 
1.0274900000e+00 4.1746954167e-03 1.3408725978e-05 
1.0367900000e+00 4.1811870833e-03 1.3376115066e-05 
1.0460900000e+00 4.1891345833e-03 1.3378197752e-05 
1.0553900000e+00 4.1993220833e-03 1.3327240181e-05 
1.0646900000e+00 4.1904225000e-03 1.3245113240e-05 
1.0739900000e+00 4.1982645833e-03 1.3264766264e-05 
1.0832900000e+00 4.1853900000e-03 1.3128432966e-05 
1.0925800000e+00 4.2142587500e-03 1.3145384154e-05 
1.1018800000e+00 4.1937833333e-03 1.3051797503e-05 
1.1111800000e+00 4.1809283333e-03 1.2933966368e-05 
1.1204800000e+00 4.1867250000e-03 1.2865436164e-05 
1.1297800000e+00 4.1944504167e-03 1.2865441864e-05 
