name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
P615m15.dat;0.1374E+00;0.2915E-02;0.1550E+02;0.3144E+00;0.1019E+02;0.1382E+00;0.1230E+00;0.6010E-02;0.1000E+01;*FIXED;0.4859E-03;0.6297E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9398E+02;0.3808E+01;0.3540E+02;0.2791E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m16.dat;0.1387E+00;0.3011E-02;0.1612E+02;0.3065E+00;0.1008E+02;0.1333E+00;0.1133E+00;0.5281E-02;0.1000E+01;*FIXED;0.5260E-03;0.6406E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8832E+02;0.3518E+01;0.3431E+02;0.2508E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m17.dat;0.1317E+00;0.2719E-02;0.1605E+02;0.3140E+00;0.1014E+02;0.1399E+00;0.1165E+00;0.5640E-02;0.1000E+01;*FIXED;0.4933E-03;0.6682E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1040E+03;0.4148E+01;0.3703E+02;0.3173E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m18.dat;0.1356E+00;0.2760E-02;0.1559E+02;0.3243E+00;0.1020E+02;0.1440E+00;0.1223E+00;0.6187E-02;0.1000E+01;*FIXED;0.4940E-03;0.6595E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1060E+03;0.3950E+01;0.4072E+02;0.3436E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m19.dat;0.1302E+00;0.2380E-02;0.1581E+02;0.2800E+00;0.1019E+02;0.1252E+00;0.1205E+00;0.5246E-02;0.1000E+01;*FIXED;0.5060E-03;0.5795E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1055E+03;0.3695E+01;0.3789E+02;0.2932E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m20.dat;0.1347E+00;0.2677E-02;0.1607E+02;0.3017E+00;0.1000E+02;0.1341E+00;0.1133E+00;0.5301E-02;0.1000E+01;*FIXED;0.4664E-03;0.6633E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9976E+02;0.3941E+01;0.3538E+02;0.2832E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m21.dat;0.1317E+00;0.2518E-02;0.1601E+02;0.2942E+00;0.1008E+02;0.1313E+00;0.1158E+00;0.5280E-02;0.1000E+01;*FIXED;0.4741E-03;0.6317E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1044E+03;0.3541E+01;0.4152E+02;0.3210E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m22.dat;0.1248E+00;0.2166E-02;0.1634E+02;0.2730E+00;0.1003E+02;0.1242E+00;0.1127E+00;0.4787E-02;0.1000E+01;*FIXED;0.5058E-03;0.6215E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1194E+03;0.4171E+01;0.3874E+02;0.3321E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m23.dat;0.1316E+00;0.2571E-02;0.1644E+02;0.2840E+00;0.9956E+01;0.1270E+00;0.1093E+00;0.4787E-02;0.1000E+01;*FIXED;0.4923E-03;0.6589E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1004E+03;0.3817E+01;0.3562E+02;0.2795E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m24.dat;0.1298E+00;0.2818E-02;0.1591E+02;0.2991E+00;0.1013E+02;0.1329E+00;0.1190E+00;0.5456E-02;0.1000E+01;*FIXED;0.4859E-03;0.6326E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9195E+02;0.3766E+01;0.3454E+02;0.2731E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m25.dat;0.1275E+00;0.2313E-02;0.1611E+02;0.2847E+00;0.1006E+02;0.1292E+00;0.1156E+00;0.5137E-02;0.1000E+01;*FIXED;0.4796E-03;0.6373E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1170E+03;0.4478E+01;0.3612E+02;0.3232E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m26.dat;0.1309E+00;0.2398E-02;0.1651E+02;0.2819E+00;0.9896E+01;0.1270E+00;0.1075E+00;0.4709E-02;0.1000E+01;*FIXED;0.4602E-03;0.6719E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1088E+03;0.3661E+01;0.4088E+02;0.3238E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m27.dat;0.1274E+00;0.2490E-02;0.1624E+02;0.2946E+00;0.9966E+01;0.1333E+00;0.1123E+00;0.5133E-02;0.1000E+01;*FIXED;0.4602E-03;0.6778E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1071E+03;0.3887E+01;0.3996E+02;0.3327E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m28.dat;0.1272E+00;0.2645E-02;0.1689E+02;0.2890E+00;0.9755E+01;0.1311E+00;0.1026E+00;0.4576E-02;0.1000E+01;*FIXED;0.4824E-03;0.7524E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1010E+03;0.4956E+01;0.2867E+02;0.2654E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m29.dat;0.1299E+00;0.2415E-02;0.1602E+02;0.2822E+00;0.1018E+02;0.1261E+00;0.1181E+00;0.5133E-02;0.1000E+01;*FIXED;0.4825E-03;0.5921E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1055E+03;0.3762E+01;0.3777E+02;0.2959E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
P615m30.dat;0.1266E+00;0.2701E-02;0.1582E+02;0.3091E+00;0.1022E+02;0.1385E+00;0.1219E+00;0.5799E-02;0.1000E+01;*FIXED;0.4723E-03;0.6380E-05;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1012E+03;0.4454E+01;0.3340E+02;0.2964E+01;0.1000E-02;*FIXED;0.4000E+01;*FIXED
