name;scale;err;d_head;err;rad_core;err;rho_rel;err;sigma;err;bck;err;l_cont;err;b_kuhn;err;eps_xs;err;d_cq;err;nu_rpa;err;sc_pow;err;exp;err
55ave.dat;0.8892E-01;0.1160E-02;0.1703E+02;0.5887E+00;0.8157E+01;0.3202E+00;0.7397E-01;0.8496E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8542E+02;0.3306E+01;0.1575E+02;0.7337E+00;0.2322E-03;0.4081E-04;0.4000E+01;*FIXED
55_01.dat;0.6918E-01;0.2682E-02;0.2059E+02;0.1223E+01;0.7391E+01;0.6696E+00;0.4737E-01;0.1123E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9718E+02;0.8406E+01;0.2214E+02;0.3055E+01;0.3546E-03;0.1106E-03;0.4000E+01;*FIXED
55_02.dat;0.8641E-01;0.2782E-02;0.1891E+02;0.1340E+01;0.7219E+01;0.7442E+00;0.5108E-01;0.1398E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.9139E+02;0.7837E+01;0.1860E+02;0.2132E+01;0.1050E-03;0.1047E-03;0.4000E+01;*FIXED
55_03.dat;0.8926E-01;0.3195E-02;0.2088E+02;0.1307E+01;0.6071E+01;0.7477E+00;0.3194E-01;0.9732E-02;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8481E+02;0.8156E+01;0.1699E+02;0.2039E+01;0.1409E-03;0.1075E-03;0.4000E+01;*FIXED
55_04.dat;0.9126E-01;0.3047E-02;0.1906E+02;0.1399E+01;0.7106E+01;0.7747E+00;0.4857E-01;0.1402E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8909E+02;0.9285E+01;0.1565E+02;0.1975E+01;-0.8640E-04;0.1125E-03;0.4000E+01;*FIXED
55_05.dat;0.9035E-01;0.3755E-02;0.1852E+02;0.1639E+01;0.7296E+01;0.8957E+00;0.5327E-01;0.1770E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7944E+02;0.9072E+01;0.1590E+02;0.2120E+01;0.2859E-03;0.1153E-03;0.4000E+01;*FIXED
55_06.dat;0.8858E-01;0.2344E-02;0.1843E+02;0.1272E+01;0.7603E+01;0.7124E+00;0.5846E-01;0.1489E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1130E+03;0.1212E+02;0.1363E+02;0.2021E+01;0.1922E-03;0.1186E-03;0.4000E+01;*FIXED
55_07.dat;0.9301E-01;0.3075E-02;0.1880E+02;0.1335E+01;0.7160E+01;0.7334E+00;0.5022E-01;0.1381E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.8312E+02;0.8690E+01;0.1428E+02;0.1694E+01;0.2904E-03;0.1031E-03;0.4000E+01;*FIXED
55_08.dat;0.9310E-01;0.3517E-02;0.1609E+02;0.1739E+01;0.8468E+01;0.9384E+00;0.8558E-01;0.2854E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.7946E+02;0.8221E+01;0.1659E+02;0.2022E+01;0.3056E-03;0.1113E-03;0.4000E+01;*FIXED
55_09.dat;0.8738E-01;0.2862E-02;0.2061E+02;0.1372E+01;0.6343E+01;0.7893E+00;0.3546E-01;0.1107E-01;0.1000E+01;*FIXED;0.0000E+00;*FIXED;0.5000E+04;*FIXED;0.1000E+04;*FIXED;0.1000E+01;*FIXED;0.1016E+03;0.9662E+01;0.1800E+02;0.2411E+01;0.2236E-03;0.1214E-03;0.4000E+01;*FIXED
