
SAXS BOX                                                                        
     619         0         0         0         0         0         0         0 
  0.000000E+00   3.068000E+02   0.000000E+00   1.000000E+00   1.542000E-01
  2.500000E+01   1.062232E+00   0.000000E+00   0.000000E+00   0.000000E+00 
 3.7679736E-02  3.8137476E+00 0 
 3.9962273E-02  3.4473462E+00 0 
 4.2244811E-02  3.0426757E+00 0 
 4.4527344E-02  2.8467541E+00 0 
 4.6809882E-02  2.6375928E+00 0 
 4.9092419E-02  2.4505749E+00 0 
 5.1374957E-02  2.4240541E+00 0 
 5.3657494E-02  2.3840463E+00 0 
 5.5940032E-02  2.3082316E+00 0 
 5.8222570E-02  2.2736096E+00 0 
 6.0505107E-02  2.1844130E+00 0 
 6.2787645E-02  2.1458795E+00 0 
 6.5070182E-02  2.0413883E+00 0 
 6.7352720E-02  1.9447659E+00 0 
 6.9635257E-02  1.9281214E+00 0 
 7.1917787E-02  1.8734248E+00 0 
 7.4200332E-02  1.8594842E+00 0 
 7.6482862E-02  1.8725902E+00 0 
 7.8765407E-02  1.8149911E+00 0 
 8.1047937E-02  1.7278749E+00 0 
 8.3330475E-02  1.7578399E+00 0 
 8.5613012E-02  1.7517678E+00 0 
 8.7895550E-02  1.7130247E+00 0 
 9.0178087E-02  1.6399431E+00 0 
 9.2460625E-02  1.5836077E+00 0 
 9.4743162E-02  1.6421490E+00 0 
 9.7025700E-02  1.6865448E+00 0 
 9.9308237E-02  1.5844436E+00 0 
 1.0159077E-01  1.5478072E+00 0 
 1.0387331E-01  1.5328349E+00 0 
 1.0615585E-01  1.5348525E+00 0 
 1.0843839E-01  1.5253321E+00 0 
 1.1072092E-01  1.4939859E+00 0 
 1.1300346E-01  1.4949937E+00 0 
 1.1528599E-01  1.4362580E+00 0 
 1.1756853E-01  1.4425514E+00 0 
 1.1985107E-01  1.4167000E+00 0 
 1.2213361E-01  1.3774871E+00 0 
 1.2441614E-01  1.3833385E+00 0 
 1.2669867E-01  1.3753802E+00 0 
 1.2898122E-01  1.3190405E+00 0 
 1.3126376E-01  1.3197861E+00 0 
 1.3354629E-01  1.3124963E+00 0 
 1.3582882E-01  1.3137553E+00 0 
 1.3811137E-01  1.3354752E+00 0 
 1.4039391E-01  1.2974544E+00 0 
 1.4267644E-01  1.2700982E+00 0 
 1.4495897E-01  1.2844322E+00 0 
 1.4724150E-01  1.2891060E+00 0 
 1.4952405E-01  1.2714001E+00 0 
 1.5180659E-01  1.2421483E+00 0 
 1.5408912E-01  1.2466207E+00 0 
 1.5637165E-01  1.2425935E+00 0 
 1.5865420E-01  1.2135329E+00 0 
 1.6093674E-01  1.1868666E+00 0 
 1.6321927E-01  1.1682917E+00 0 
 1.6550180E-01  1.1672388E+00 0 
 1.6778435E-01  1.1568031E+00 0 
 1.7006688E-01  1.1423367E+00 0 
 1.7234942E-01  1.1294792E+00 0 
