c;pto_final;g0;g0err;tr;trerr;R2;R2lin
35;33;30.818473720270866;0.459766782739931;23.69007446901034;1.3069543741694127;0.914;0.911
60;35;51.507251862189605;0.2803678049030627;79.18403111319657;1.5507551568517437;0.976;0.975
72;21;39.95492850746482;0.1460997671983407;4.470500975035904;0.04961950712032288;0.997;0.996
100;26;52.310798060393886;0.13771962448276287;0.20937018328915147;0.0012253957093138164;0.999;0.999
189;25;49.70288821695084;0.26322333369873174;1.0144645117606212;0.014792901760429591;0.996;0.996
260;22;51.58939571810469;0.33145387697465517;2.7061230721609433;0.04987682407693327;0.993;0.992
365;24;49.795328031784706;0.21125423507031496;0.9016062601974335;0.009994967314197467;0.998;0.998
