RH35-2 w;RH35-2 G1;RH35-2 G2;RH35-2 T
0,00628;1,04;4,68;25,0
0,00811;1,84;6,14;25,0
0,0105;2,92;7,62;25,0
0,0135;4,44;9,15;25,0
0,0175;6,49;10,6;25,0
0,0226;9,00;11,7;25,0
0,0292;11,9;12,3;25,0
0,0377;14,8;12,3;25,0
0,0486;17,5;11,8;25,0
0,0628;19,9;10,9;25,0
0,0811;21,9;9,87;25,0
0,105;23,5;8,77;25,0
0,135;24,7;7,74;25,0
0,175;25,8;6,84;25,0
0,226;26,7;6,06;25,0
0,292;27,4;5,44;25,0
0,377;28,0;4,92;25,0
0,486;28,6;4,51;25,0
0,628;29,2;4,14;25,0
0,811;29,7;3,86;25,0
1,05;30,2;3,61;25,0
1,35;30,7;3,39;25,0
1,75;31,2;3,22;25,0
2,26;31,7;3,05;25,0
2,92;32,1;2,91;25,0
3,77;32,6;2,78;25,0
4,86;32,8;2,66;25,0
6,28;33,4;2,60;25,0
8,11;33,6;2,58;25,0
10,5;34,1;2,50;25,0
13,5;34,4;2,40;25,0
17,5;34,8;2,51;25,0
22,6;35,0;2,51;25,0
29,2;33,8;2,34;25,0
37,7;36,0;6,68;25,0
48,6;46,2;13,9;25,0
62,8;40,8;5,90;25,0
