RH189-2 w;RH189-2 G1;RH189-2 G2;RH189-2 T
0,0628;0,195;3,07;25,0
0,0811;0,336;3,87;25,1
0,105;0,558;5,32;24,7
0,135;0,971;6,67;25,0
0,175;1,54;8,42;25,0
0,226;2,54;10,7;25,0
0,292;4,08;13,3;25,0
0,377;6,48;16,4;25,0
0,486;9,71;19,2;25,0
0,628;13,3;21,4;25,1
0,811;17,4;23,0;25,3
1,05;21,9;23,9;25,7
1,35;27,2;23,9;25,9
1,75;32,8;22,6;25,8
2,26;37,8;20,1;25,7
2,92;41,7;17,0;25,5
3,77;44,4;14,0;25,4
4,86;45,9;11,2;25,3
6,28;47,4;8,91;25,1
8,11;48,1;7,02;25,1
10,5;48,6;5,62;25,0
13,5;48,9;4,70;25,0
17,5;49,8;3,91;25,0
22,6;49,8;3,17;24,9
29,2;50,5;2,95;24,9
37,7;54,7;2,05;24,9
48,6;55,2;10,8;24,8
62,8;69,5;9,72;24,7
