c;pto_final;g0;g0err;tr0;tr0err;a;aerr;b;berr;R2;R2lin
35;33;30.965661784047647;0.38973251918515184;38.611607641964575;7.92431497321125;2.805706209610887;0.6111033136357423;0.3496841327570148;0.06614299023176132;0.941;0.935
60;35;51.50760807745081;0.2648702064389796;109.23477065504196;67.60871310858033;1.6002028328550209;0.7993497270264208;0.23204045754751634;0.38684383324320526;0.979;0.977
72;21;39.95960302193639;0.11835733458434232;4.7552456491916475;0.178404853252144;0.24556755066917368;0.10109565526073787;0.6191212659034966;0.22302328760979417;0.998;0.998
100;26;52.3174576244851;0.09343060588341383;0.21920004069584031;0.0041248059321302676;0.02914553613921167;0.0240268700000864;0.6435419950592798;0.21430661858134448;1.000;1.000
189;25;49.712223580350354;0.24801157291201778;1.0480913481434908;0.03377036752473666;0.0483812243833881;0.05674937174373038;0.8502343545481172;0.39844844283495623;0.997;0.996
260;22;51.60563363361878;0.30824891665337506;2.7867540974177896;0.08874011722528234;0.09954521630292934;0.08752031893980873;0.986692130373471;0.37506846440228164;0.994;0.993
365;24;49.8125045227321;0.14107320978927876;0.9566280660742741;0.02071312402700599;0.08577971062109757;0.03958199291819472;0.7550254138552281;0.16097145126394352;0.999;0.999
