c;Maxwell;err;OldroydB;err;Jeffreys;err;Dois Modos1;err1;Dois Modos2;err2
35;30.818473720270863;0.45976678273993105;30.804295584749948;0.4314325205856875;30.81032352492723;0.4315052628962533;26.797064504787887;0.3044814041855399;7.2772617045173815;0.366067791731834
60;51.507251862189605;0.2803678049030627;51.493755869474995;0.27934686959139365;51.49997936374508;0.2792471099772149;31.865995094758784;1.6791339266487983;20.64470841414111;1.6628022134575904
72;39.95492850746482;0.1460997671983407;39.92237741910967;0.13429330032616368;39.938148657445694;0.13402406619866447;35.87223713100308;0.9286356423706171;4.596641043754343;0.9091882322560172
100;52.310798060393886;0.13771962448276287;52.086281201675035;0.1184846498538868;52.19647258228511;0.11310495470654405;3.5856719643560284;0.465850897104404;49.705691252929995;0.5141438342186699
189;49.702888216950846;0.2632233336987317;49.6306174016792;0.25333177732746714;49.66584419561586;0.25217225423560025;48.280920376619065;0.29709305886949106;3.73312843827622;0.3985047847182868
260;51.58939571810469;0.3314538769746552;51.51158652991924;0.31445277036888186;51.549793631645635;0.31353549887190824;49.691875705359394;1.0512013225790224;2.918468342080732;1.0070050125744099
365;49.79532803178471;0.21125423507031496;49.64233194377078;0.16835573346871274;49.716289932225635;0.16693733667299646;46.96489353428033;0.3141336095811317;4.181267748630065;0.29190331158368205
