c;pto_final;g0;g0err;tr1;tr1err;tr2;tr2err;R2;R2lin
35;33;30.810323524927227;0.4315052628962532;23.77585869596853;1.2319563780800695;0.004631771746146374;0.001493007805704208;0.925;0.920
60;35;51.49997936374508;0.2792471099772149;79.32887751915445;1.5514049532477145;0.00959302189752731;0.0076798166444177595;0.977;0.975
72;21;39.938148657445694;0.13402406619866447;4.487822800910147;0.04605162509938083;0.0017719457417546547;0.0006042847652991576;0.997;0.997
100;26;52.19647258228511;0.11310495470654405;0.21164169530354604;0.0010884600997718861;0.0004467928694671386;8.483204685039898e-05;1.000;1.000
189;25;49.665844195615854;0.2521722542356003;1.0202060214818216;0.014439748963313943;0.0007234704838225969;0.0003093097607018498;0.997;0.996
260;22;51.54979363164563;0.31353549887190835;2.723250439045532;0.047984283129805204;0.002018410816301941;0.0008217293309667286;0.994;0.993
365;24;49.716289932225635;0.16693733667299637;0.9114118515219187;0.00816562247621508;0.0013558971417739762;0.0002513175133252503;0.999;0.999
