RH365-2 w;RH365-2 G1;RH365-2 G2;RH365-2 T
0,0628;0,179;2,92;25,0
0,0811;0,297;3,75;25,0
0,105;0,494;4,82;25,0
0,135;0,818;6,17;25,0
0,175;1,36;7,90;25,0
0,226;2,24;10,0;25,0
0,292;3,63;12,6;25,0
0,377;5,76;15,5;25,0
0,486;8,85;18,4;25,0
0,628;13,1;21,2;25,0
0,811;18,2;23,2;25,0
1,05;23,9;23,8;25,0
1,35;29,7;23,4;25,0
1,75;34,9;21,7;25,0
2,26;39,3;19,3;25,0
2,92;42,6;16,6;25,0
3,77;45,2;14,1;25,0
4,86;46,6;11,5;25,0
6,28;48,0;9,45;25,0
8,11;48,8;7,69;25,0
10,5;49,4;6,31;25,0
13,5;49,7;5,30;25,0
17,5;50,3;4,35;25,0
22,6;50,4;3,71;25,0
29,2;51,0;3,34;25,0
37,7;54,6;0,224;25,0
48,6;53,3;5,97;25,0
62,8;59,6;6,75;25,0
