RH35 w;RH35 G1;RH35 G2;RH35 T
0,0628;15,7;9,09;25,0
0,0811;17,3;8,36;25,0
0,105;18,6;7,61;25,0
0,135;19,8;6,89;25,0
0,175;20,8;6,22;25,0
0,226;21,7;5,66;25,0
0,292;22,4;5,18;25,0
0,377;23,1;4,79;25,0
0,486;23,7;4,45;25,0
0,628;24,3;4,14;25,0
0,811;24,9;3,90;25,0
1,05;25,5;3,69;25,0
1,35;26,0;3,51;25,0
1,75;26,5;3,33;25,0
2,26;27,0;3,20;25,0
2,92;27,5;3,07;25,0
3,77;27,8;2,92;25,0
4,86;28,2;2,87;25,0
6,28;28,8;2,70;25,0
8,11;29,2;2,67;25,0
10,5;29,7;2,58;25,0
13,5;30,2;2,40;25,0
17,5;30,5;2,61;25,0
22,6;31,3;2,40;25,0
29,2;29,1;1,51;25,0
37,7;37,1;2,56;25,0
48,6;39,2;2,96;25,0
62,8;51,4;3,31;25,0
