c;Oldroyd;err;Garcia,a;err;Garcia,b;err
35;0.14270655125579834;0.045947688386420375;2.8057062096108867;0.6111033136357436;0.3496841327570148;0.06614299023176144
60;0.4940388241972809;0.39545367646665225;1.6002028328550209;0.7993497270263709;0.23204045754751634;0.38684383324316496
72;0.07076837645142177;0.02412284229168357;0.2455675506691737;0.1010956552607376;0.6191212659034966;0.2230232876097936
100;0.02332101915880136;0.004417772563835553;0.02914553613921167;0.024026870000086804;0.6435419950592798;0.21430661858134814
189;0.035931958947311486;0.015349225506995252;0.0483812243833881;0.05674937174373041;0.8502343545481172;0.3984484428349565
260;0.10404863788665476;0.04232387322786218;0.09954521630292934;0.0875203189398088;0.9866921303734709;0.375068464402282
365;0.06741000338148684;0.012474028761329258;0.08577971062109757;0.0395819929181947;0.7550254138552281;0.16097145126394338
