c;pto_final;g0;g0err;tr;trerr;etainf;etainferr;R2;R2lin
35;33;30.804295584749944;0.4314325205856875;23.776131276008247;1.2320153024539289;0.14270655125579834;0.045947688386420375;0.925;0.920
60;35;51.49375586947499;0.27934686959139365;79.32879302195532;1.5513901219090784;0.49403882419728085;0.39545367646665225;0.977;0.975
72;21;39.92237741910967;0.13429330032616368;4.487825148732752;0.04605211672799559;0.07076837645142176;0.024122842291683575;0.997;0.997
100;26;52.08628120167503;0.11848464985388679;0.2116417021433814;0.0010884610937096904;0.02332101915880136;0.004417772563835553;1.000;1.000
189;25;49.630617401679196;0.25333177732746714;1.0202070355552708;0.014440062667892294;0.03593195894731149;0.015349225506995254;0.997;0.996
260;22;51.51158652991924;0.31445277036888186;2.7232502577398368;0.0479841568124489;0.10404863788665475;0.04232387322786218;0.994;0.993
365;24;49.64233194377078;0.16835573346871277;0.9114113248243425;0.008165538763500308;0.06741000338148684;0.012474028761329258;0.999;0.999
