c;etainf;etainferr
35;0.14270655125579834;0.045947688386420375
60;0.4940388241972809;0.39545367646665225
72;0.07076837645142177;0.02412284229168357
100;0.02332101915880136;0.004417772563835553
189;0.035931958947311486;0.015349225506995252
260;0.10404863788665476;0.04232387322786218
365;0.06741000338148684;0.012474028761329258
