13BD 10p.csv Xt (mM);13BD 10p.csv ∆H (J/mol);13BD 15p-2.csv Xt (mM);13BD 15p-2.csv ∆H (J/mol);13BD 15p.csv Xt (mM);13BD 15p.csv ∆H (J/mol);13BD 20p.csv Xt (mM);13BD 20p.csv ∆H (J/mol);13BD 30p.csv Xt (mM);13BD 30p.csv ∆H (J/mol);13BD 5p.csv Xt (mM);13BD 5p.csv ∆H (J/mol);Agua 2017.csv Xt (mM);Agua 2017.csv ∆H (J/mol);Agua 2018.csv Xt (mM);Agua 2018.csv ∆H (J/mol);DMSO 05p.csv Xt (mM);DMSO 05p.csv ∆H (J/mol);DMSO 10p.csv Xt (mM);DMSO 10p.csv ∆H (J/mol);DMSO 15p-3.csv Xt (mM);DMSO 15p-3.csv ∆H (J/mol);DMSO 15p.csv Xt (mM);DMSO 15p.csv ∆H (J/mol);DMSO 20p-2.csv Xt (mM);DMSO 20p-2.csv ∆H (J/mol);DMSO 20p.csv Xt (mM);DMSO 20p.csv ∆H (J/mol);DMSO 25p.csv Xt (mM);DMSO 25p.csv ∆H (J/mol);DMSO 30p.csv Xt (mM);DMSO 30p.csv ∆H (J/mol);Glic 10p-2.csv Xt (mM);Glic 10p-2.csv ∆H (J/mol);Glic 10p.csv Xt (mM);Glic 10p.csv ∆H (J/mol);Glic 20p.csv Xt (mM);Glic 20p.csv ∆H (J/mol);Glic 30p.csv Xt (mM);Glic 30p.csv ∆H (J/mol);Glic 40p-2.csv Xt (mM);Glic 40p-2.csv ∆H (J/mol);Glic 40p.csv Xt (mM);Glic 40p.csv ∆H (J/mol);Glic 50p.csv Xt (mM);Glic 50p.csv ∆H (J/mol);Glic 5p.csv Xt (mM);Glic 5p.csv ∆H (J/mol);Glic 60p.csv Xt (mM);Glic 60p.csv ∆H (J/mol);Sac 10p.csv Xt (mM);Sac 10p.csv ∆H (J/mol);Sac 20p.csv Xt (mM);Sac 20p.csv ∆H (J/mol);Sac 30p.csv Xt (mM);Sac 30p.csv ∆H (J/mol);Sac 40p.csv Xt (mM);Sac 40p.csv ∆H (J/mol);Sac 50p.csv Xt (mM);Sac 50p.csv ∆H (J/mol);Sac 5p.csv Xt (mM);Sac 5p.csv ∆H (J/mol);Ureia 10p.csv Xt (mM);Ureia 10p.csv ∆H (J/mol);Ureia 15p.csv Xt (mM);Ureia 15p.csv ∆H (J/mol);Ureia 20p-2.csv Xt (mM);Ureia 20p-2.csv ∆H (J/mol);Ureia 20p.csv Xt (mM);Ureia 20p.csv ∆H (J/mol);Ureia 25p-2.csv Xt (mM);Ureia 25p-2.csv ∆H (J/mol);Ureia 25p.csv Xt (mM);Ureia 25p.csv ∆H (J/mol);Ureia 30p.csv Xt (mM);Ureia 30p.csv ∆H (J/mol);Ureia 5p.csv Xt (mM);Ureia 5p.csv ∆H (J/mol)
3,39572;14310,92960;3,86931;17947,73571;3,39211;18648,64710;2,62298;23192,53513;2,64735;26615,92972;2,43823;8713,99479;2,02787;5015,17200;2,01830;5037,78930;2,33396;5767,76272;2,96777;5120,51746;3,06687;13527,78571;3,19194;6089,25793;2,72110;15307,47363;3,23199;15917,78905;3,39224;17935,52752;3,50636;19454,23389;1,55460;9077,59792;1,68979e-2;626626,70366;1,83463;13184,82904;1,93601;16560,67222;2,17741;18443,69803;1,84949;41772,94602;4,85693;20994,18679;2,53484;8052,00677;4,80865;19020,32726;2,03743;7304,74121;2,08568;9722,19941;2,00360;12040,50781;2,12471;16437,47948;1,96091;2241,18933;1,98961;6543,67593;1,97526;6135,72096;2,86963;6384,40983;2,47744;6565,06757;2,61136;6388,54605;2,97485;6570,79512;2,88876;6397,41364;4,74923;6587,43882;1,99439;5942,10868
3,71632;13190,80945;4,22748;17531,69203;3,69825;17932,47413;2,84692;23302,90362;2,89629;26951,10484;2,66842;8696,69951;2,21932;4974,79330;2,20885;5010,67854;2,55431;5759,98707;3,24249;5228,31015;3,36534;13643,74087;3,48740;6226,03950;2,97697;15624,21905;3,52232;15509,73393;3,69039;18309,95213;3,83607;19801,64300;1,69993;9068,90734;1,84775e-2;627593,15140;2,00612;13199,45982;2,11699;16566,60741;2,38095;18438,08653;2,01369;39130,26525;5,31095;20241,69842;2,77415;8040,65842;5,25816;18924,78332;2,22979;7272,20877;2,28065;9735,88580;2,19090;11959,73252;2,32139;16410,30989;2,14604;1894,54977;2,17745;6513,52672;2,16175;6110,92980;3,14055;6348,94586;2,71134;6541,17513;2,85790;6263,58591;3,25570;6529,70035;3,16149;6402,31654;5,19761;6574,36136;2,18268;5903,54203
4,03530;9900,57158;4,58384;13971,12042;4,00333;18175,84917;3,07020;23212,13782;3,14436;26896,15100;2,89746;8682,82917;2,40981;4990,46253;2,39845;5018,76309;2,77356;5799,39223;3,51582;5312,80959;3,66231;13677,01144;3,78138;6338,70901;3,23196;15663,33346;3,81150;15971,95331;3,98751;18547,97414;4,16464;19845,42305;1,84452;9020,47534;2,00491e-2;624973,54336;2,17676;13142,89831;2,29706;16468,25107;2,58347;18394,00054;2,17725;33036,54205;5,76269;13121,38940;3,01227;8027,43962;5,70541;18827,20399;2,42118;7251,43349;2,47464;9708,52749;2,37725;11786,79358;2,51707;15230,76120;2,33025;1677,83094;2,36435;6514,25244;2,34730;6070,80140;3,41012;6341,97468;2,94407;6511,05919;3,10320;6373,90216;3,53515;6531,38734;3,43285;6288,44893;5,64374;6580,78175;2,37003;5917,15177
4,35268;7147,38288;4,93841;10260,16306;4,30735;17351,22055;3,29282;23185,26475;3,39158;26200,16532;3,12535;8629,61001;2,59935;5012,89521;2,58709;5050,15096;2,99170;5844,22361;3,78777;5391,20039;3,95778;13744,15981;4,07387;6432,36007;3,48606;15314,21402;4,09952;15532,95437;4,28360;18117,97591;4,49207;19423,67366;1,98838;8977,30948;2,16129e-2;622350,14580;2,34654;13076,77588;2,47622;16412,29653;2,78497;18326,74491;2,34015;24352,82694;6,21216;7569,51864;3,24918;8022,60477;6,15041;18539,50400;2,61161;7279,62418;2,66765;9647,08566;2,56267;11501,26913;2,71177;9852,60763;2,51352;1534,33571;2,55030;6559,55036;2,53191;6113,76587;3,67832;6393,19667;3,17562;6534,10338;3,34727;6246,93366;3,81319;6529,20470;3,70284;6434,26119;6,08762;6590,27075;2,55643;5938,64991
4,66845;5240,99693;5,29117;7744,71039;4,61032;13546,84931;3,51478;23056,27615;3,63793;26407,25294;3,35208;7987,54611;2,78792;5014,62167;2,77477;5072,89821;3,20873;5897,92281;4,05834;5390,42091;4,25176;13715,75862;4,36488;6478,18995;3,73927;15582,88930;4,38638;16070,95803;4,57865;18286,56718;4,81836;19675,31506;2,13152;9003,48640;2,31687e-2;624563,99073;2,51546;13126,33621;2,65447;16442,52674;2,98545;18312,99179;2,50239;17578,74344;6,65934;5521,67734;3,48490;6750,51105;6,59314;18436,36408;2,80107;7296,61106;2,85968;9624,73310;2,74714;10797,43095;2,90548;5966,34981;2,69586;1435,98315;2,73531;6595,15198;2,71559;6153,84500;3,94517;6415,66251;3,40599;6583,75695;3,59010;6291,49174;4,08982;6571,17421;3,97147;6390,96761;6,52925;6656,79112;2,74189;5960,19162
4,98260;4069,68989;5,64214;5919,37420;4,91222;10670,66133;3,73607;22920,86480;3,88343;26694,63582;3,57765;6254,23529;2,97553;5053,71942;2,96149;5105,13713;3,42466;5952,83844;4,32753;4544,28319;4,54424;13757,39602;4,65441;6530,76232;3,99161;15827,51095;4,67209;15627,25253;4,87267;18650,48313;5,14351;19955,81432;2,27392;9021,65604;2,47166e-2;625112,11161;2,68351;13159,23544;2,83181;16466,66314;3,18490;18390,25922;2,70430;11663,58821;7,10424;3560,94205;3,71941;4698,13002;7,03362;17758,79106;2,98956;7329,46648;3,05073;9021,07136;2,93068;9051,62144;3,09820;4071,42082;2,87728;1365,69176;2,91939;6623,42978;2,89833;6176,57289;4,21065;6455,13088;3,63520;6615,27898;3,83169;6322,34848;4,36504;6597,43049;4,23872;6410,11730;6,96863;6684,77673;2,92640;5983,54273
5,29515;3347,49209;5,99131;4730,56720;5,21306;8759,89716;3,95670;22953,76181;4,12806;25833,06412;3,80207;4560,16254;3,16218;5070,58326;3,14726;5134,00028;3,63949;5976,35321;4,59535;2203,14225;4,83523;13833,49758;4,94245;5803,20716;4,24306;15458,87212;4,95664;16096,62328;5,16565;18330,75741;5,46753;19499,16552;2,41560;9058,32118;2,62565e-2;625902,45287;2,85071;13221,20496;3,00824;16495,40044;3,38334;18438,32405;2,90519;7644,52564;7,54687;2433,12974;3,95272;3334,28350;7,47185;13612,15525;3,17709;7247,72656;3,24080;6820,04946;3,11327;7290,66158;3,28994;2882,50046;3,05777;1318,36509;3,10251;6588,87537;3,08014;6200,93020;4,47478;6490,91922;3,86323;6653,25159;4,07205;6290,04556;4,63885;6639,31072;4,50461;6417,39241;7,40576;6731,02914;3,10997;6021,68271
5,60610;2863,46377;6,33867;3921,20333;5,51284;6917,67633;4,17667;22853,06924;4,37183;25802,89185;4,02533;3375,59586;3,34787;5063,74353;3,33207;5128,25792;3,85320;5647,76381;4,86178;740,60615;5,12472;13300,13781;5,22901;2925,24180;4,49362;15594,01591;5,24004;15662,92923;5,45761;18271,05268;5,79040;19604,14255;2,55654;9066,22488;2,77885e-2;629544,72864;3,01704;13267,31163;3,18377;16486,78764;3,58075;18503,70577;3,10505;5373,98546;7,98721;1767,46535;4,18483;2394,34799;7,90782;8232,56310;3,36366;6372,31280;3,42990;4785,27157;3,29492;5691,08271;3,48068;2115,79871;3,23732;1281,67670;3,28470;5734,38773;3,26101;6195,81118;4,73755;6470,83152;4,09008;6625,01293;4,31117;6330,45824;4,91126;6628,05288;4,76913;6418,26743;7,84064;6718,33799;3,29259;5995,06849
5,91543;2517,35150;6,68424;3370,38531;5,81156;5504,40530;4,39598;22253,03677;4,61475;26043,28962;4,24744;2641,80619;3,53259;4777,11831;3,51593;4984,56750;4,06581;4222,43759;5,12683;-328,46446;5,41272;10072,43491;5,51408;1111,63225;4,74330;15884,46589;5,52228;16158,92446;5,74853;18609,23844;6,11213;19955,31259;2,69676;9041,83030;2,93126e-2;628341,03591;3,18251;13232,42022;3,35839;16363,67327;3,77714;18460,71118;3,30390;4049,98323;8,42528;1325,98990;4,41574;1889,04572;8,34153;6784,04595;3,54926;4737,95652;3,61801;3459,80796;3,47564;4359,67928;3,67044;1660,23087;3,41595;1238,52283;3,46594;4374,74921;3,44095;6153,00398;4,99895;6415,66145;4,31576;6575,89070;4,54905;6254,64488;5,18225;6584,37825;5,03228;6416,04955;8,27327;6582,13931;3,47427;5953,95404
6,22315;2278,45047;7,02801;2958,28906;6,10922;4741,02063;4,61462;20877,25499;4,85680;25570,29169;4,46840;2212,43434;3,71636;3990,29337;3,69883;4255,62254;4,27732;2967,87311;5,39050;-994,50830;5,69922;6899,34248;5,79767;230,70826;4,99209;15759,04014;5,80336;15721,74809;6,03841;18691,83188;6,43272;19762,50194;2,83624;8983,70067;3,08287e-2;625864,99229;3,34712;13137,34842;3,53209;15989,15858;3,97250;18399,19194;3,50172;3191,56017;8,86106;1051,67767;4,64545;1590,91908;8,77298;5220,81451;3,73389;3536,41106;3,80515;2539,66686;3,65541;3300,95353;3,85921;1372,64308;3,59365;1186,10407;3,64624;3290,19768;3,61995;6156,49925;5,25900;6314,40697;4,54027;6601,06877;4,78569;6246,12217;5,45183;6592,19244;5,29406;6390,63698;8,70365;6019,50450;3,65501;5918,67641
