13BD 10p.csv Xt (mM);13BD 10p.csv ∆H (J/mol);13BD 15p-2.csv Xt (mM);13BD 15p-2.csv ∆H (J/mol);13BD 15p.csv Xt (mM);13BD 15p.csv ∆H (J/mol);13BD 20p.csv Xt (mM);13BD 20p.csv ∆H (J/mol);13BD 5p.csv Xt (mM);13BD 5p.csv ∆H (J/mol);Agua 2018.csv Xt (mM);Agua 2018.csv ∆H (J/mol);DMSO 05p.csv Xt (mM);DMSO 05p.csv ∆H (J/mol);DMSO 10p.csv Xt (mM);DMSO 10p.csv ∆H (J/mol);DMSO 15p-3.csv Xt (mM);DMSO 15p-3.csv ∆H (J/mol);DMSO 20p-2.csv Xt (mM);DMSO 20p-2.csv ∆H (J/mol);DMSO 25p.csv Xt (mM);DMSO 25p.csv ∆H (J/mol);DMSO 30p.csv Xt (mM);DMSO 30p.csv ∆H (J/mol);Glic 10p-2.csv Xt (mM);Glic 10p-2.csv ∆H (J/mol);Glic 20p.csv Xt (mM);Glic 20p.csv ∆H (J/mol);Glic 30p.csv Xt (mM);Glic 30p.csv ∆H (J/mol);Glic 40p-2.csv Xt (mM);Glic 40p-2.csv ∆H (J/mol);Glic 50p.csv Xt (mM);Glic 50p.csv ∆H (J/mol);Glic 5p.csv Xt (mM);Glic 5p.csv ∆H (J/mol);Glic 60p.csv Xt (mM);Glic 60p.csv ∆H (J/mol);Sac 10p.csv Xt (mM);Sac 10p.csv ∆H (J/mol);Sac 20p.csv Xt (mM);Sac 20p.csv ∆H (J/mol);Sac 30p.csv Xt (mM);Sac 30p.csv ∆H (J/mol);Sac 40p.csv Xt (mM);Sac 40p.csv ∆H (J/mol);Sac 50p.csv Xt (mM);Sac 50p.csv ∆H (J/mol);Sac 5p.csv Xt (mM);Sac 5p.csv ∆H (J/mol);Ureia 10p.csv Xt (mM);Ureia 10p.csv ∆H (J/mol);Ureia 15p.csv Xt (mM);Ureia 15p.csv ∆H (J/mol);Ureia 20p-2.csv Xt (mM);Ureia 20p-2.csv ∆H (J/mol);Ureia 25p-2.csv Xt (mM);Ureia 25p-2.csv ∆H (J/mol);Ureia 30p.csv Xt (mM);Ureia 30p.csv ∆H (J/mol);Ureia 5p.csv Xt (mM);Ureia 5p.csv ∆H (J/mol)
3,39572;14310,9296;3,86931;17947,73571;3,39211;18648,6471;2,62298;23192,53513;2,43823;8713,99479;2,0183;5037,7893;2,33396;5767,76272;2,96777;5120,51746;3,06687;13527,78571;2,7211;15307,47363;3,39224;17935,52752;3,50636;19454,23389;1,5546;9077,59792;1,83463;13184,82904;1,93601;16560,67222;2,17741;18443,69803;4,85693;20994,18679;2,53484;8052,00677;4,80865;19020,32726;2,03743;7304,74121;2,08568;9722,19941;2,0036;12040,50781;2,12471;16437,47948;1,96091;2241,18933;1,98961;6543,67593;1,97526;6135,72096;2,86963;6384,40983;2,47744;6565,06757;2,97485;6570,79512;4,74923;6587,43882;1,99439;5942,10868
3,71632;13190,80945;4,22748;17531,69203;3,69825;17932,47413;2,84692;23302,90362;2,66842;8696,69951;2,20885;5010,67854;2,55431;5759,98707;3,24249;5228,31015;3,36534;13643,74087;2,97697;15624,21905;3,69039;18309,95213;3,83607;19801,643;1,69993;9068,90734;2,00612;13199,45982;2,11699;16566,60741;2,38095;18438,08653;5,31095;20241,69842;2,77415;8040,65842;5,25816;18924,78332;2,22979;7272,20877;2,28065;9735,8858;2,1909;11959,73252;2,32139;16410,30989;2,14604;1894,54977;2,17745;6513,52672;2,16175;6110,9298;3,14055;6348,94586;2,71134;6541,17513;3,2557;6529,70035;5,19761;6574,36136;2,18268;5903,54203
4,0353;9900,57158;4,58384;13971,12042;4,00333;18175,84917;3,0702;23212,13782;2,89746;8682,82917;2,39845;5018,76309;2,77356;5799,39223;3,51582;5312,80959;3,66231;13677,01144;3,23196;15663,33346;3,98751;18547,97414;4,16464;19845,42305;1,84452;9020,47534;2,17676;13142,89831;2,29706;16468,25107;2,58347;18394,00054;5,76269;13121,3894;3,01227;8027,43962;5,70541;18827,20399;2,42118;7251,43349;2,47464;9708,52749;2,37725;11786,79358;2,51707;15230,7612;2,33025;1677,83094;2,36435;6514,25244;2,3473;6070,8014;3,41012;6341,97468;2,94407;6511,05919;3,53515;6531,38734;5,64374;6580,78175;2,37003;5917,15177
4,35268;7147,38288;4,93841;10260,16306;4,30735;17351,22055;3,29282;23185,26475;3,12535;8629,61001;2,58709;5050,15096;2,9917;5844,22361;3,78777;5391,20039;3,95778;13744,15981;3,48606;15314,21402;4,2836;18117,97591;4,49207;19423,67366;1,98838;8977,30948;2,34654;13076,77588;2,47622;16412,29653;2,78497;18326,74491;6,21216;7569,51864;3,24918;8022,60477;6,15041;18539,504;2,61161;7279,62418;2,66765;9647,08566;2,56267;11501,26913;2,71177;9852,60763;2,51352;1534,33571;2,5503;6559,55036;2,53191;6113,76587;3,67832;6393,19667;3,17562;6534,10338;3,81319;6529,2047;6,08762;6590,27075;2,55643;5938,64991
4,66845;5240,99693;5,29117;7744,71039;4,61032;13546,84931;3,51478;23056,27615;3,35208;7987,54611;2,77477;5072,89821;3,20873;5897,92281;4,05834;5390,42091;4,25176;13715,75862;3,73927;15582,8893;4,57865;18286,56718;4,81836;19675,31506;2,13152;9003,4864;2,51546;13126,33621;2,65447;16442,52674;2,98545;18312,99179;6,65934;5521,67734;3,4849;6750,51105;6,59314;18436,36408;2,80107;7296,61106;2,85968;9624,7331;2,74714;10797,43095;2,90548;5966,34981;2,69586;1435,98315;2,73531;6595,15198;2,71559;6153,845;3,94517;6415,66251;3,40599;6583,75695;4,08982;6571,17421;6,52925;6656,79112;2,74189;5960,19162
4,9826;4069,68989;5,64214;5919,3742;4,91222;10670,66133;3,73607;22920,8648;3,57765;6254,23529;2,96149;5105,13713;3,42466;5952,83844;4,32753;4544,28319;4,54424;13757,39602;3,99161;15827,51095;4,87267;18650,48313;5,14351;19955,81432;2,27392;9021,65604;2,68351;13159,23544;2,83181;16466,66314;3,1849;18390,25922;7,10424;3560,94205;3,71941;4698,13002;7,03362;17758,79106;2,98956;7329,46648;3,05073;9021,07136;2,93068;9051,62144;3,0982;4071,42082;2,87728;1365,69176;2,91939;6623,42978;2,89833;6176,57289;4,21065;6455,13088;3,6352;6615,27898;4,36504;6597,43049;6,96863;6684,77673;2,9264;5983,54273
5,29515;3347,49209;5,99131;4730,5672;5,21306;8759,89716;3,9567;22953,76181;3,80207;4560,16254;3,14726;5134,00028;3,63949;5976,35321;4,59535;2203,14225;4,83523;13833,49758;4,24306;15458,87212;5,16565;18330,75741;5,46753;19499,16552;2,4156;9058,32118;2,85071;13221,20496;3,00824;16495,40044;3,38334;18438,32405;7,54687;2433,12974;3,95272;3334,2835;7,47185;13612,15525;3,17709;7247,72656;3,2408;6820,04946;3,11327;7290,66158;3,28994;2882,50046;3,05777;1318,36509;3,10251;6588,87537;3,08014;6200,9302;4,47478;6490,91922;3,86323;6653,25159;4,63885;6639,31072;7,40576;6731,02914;3,10997;6021,68271
5,6061;2863,46377;6,33867;3921,20333;5,51284;6917,67633;4,17667;22853,06924;4,02533;3375,59586;3,33207;5128,25792;3,8532;5647,76381;4,86178;740,60615;5,12472;13300,13781;4,49362;15594,01591;5,45761;18271,05268;5,7904;19604,14255;2,55654;9066,22488;3,01704;13267,31163;3,18377;16486,78764;3,58075;18503,70577;7,98721;1767,46535;4,18483;2394,34799;7,90782;8232,5631;3,36366;6372,3128;3,4299;4785,27157;3,29492;5691,08271;3,48068;2115,79871;3,23732;1281,6767;3,2847;5734,38773;3,26101;6195,81118;4,73755;6470,83152;4,09008;6625,01293;4,91126;6628,05288;7,84064;6718,33799;3,29259;5995,06849
5,91543;2517,3515;6,68424;3370,38531;5,81156;5504,4053;4,39598;22253,03677;4,24744;2641,80619;3,51593;4984,5675;4,06581;4222,43759;5,12683;-328,46446;5,41272;10072,43491;4,7433;15884,46589;5,74853;18609,23844;6,11213;19955,31259;2,69676;9041,8303;3,18251;13232,42022;3,35839;16363,67327;3,77714;18460,71118;8,42528;1325,9899;4,41574;1889,04572;8,34153;6784,04595;3,54926;4737,95652;3,61801;3459,80796;3,47564;4359,67928;3,67044;1660,23087;3,41595;1238,52283;3,46594;4374,74921;3,44095;6153,00398;4,99895;6415,66145;4,31576;6575,8907;5,18225;6584,37825;8,27327;6582,13931;3,47427;5953,95404
6,22315;2278,45047;7,02801;2958,28906;6,10922;4741,02063;4,61462;20877,25499;4,4684;2212,43434;3,69883;4255,62254;4,27732;2967,87311;5,3905;-994,5083;5,69922;6899,34248;4,99209;15759,04014;6,03841;18691,83188;6,43272;19762,50194;2,83624;8983,70067;3,34712;13137,34842;3,53209;15989,15858;3,9725;18399,19194;8,86106;1051,67767;4,64545;1590,91908;8,77298;5220,81451;3,73389;3536,41106;3,80515;2539,66686;3,65541;3300,95353;3,85921;1372,64308;3,59365;1186,10407;3,64624;3290,19768;3,61995;6156,49925;5,259;6314,40697;4,54027;6601,06877;5,45183;6592,19244;8,70365;6019,5045;3,65501;5918,67641
6,52927;2108,66589;7,36999;2640,66666;6,40582;4143,84689;4,83261;18348,1766;4,6882;1907,60171;3,88077;3421,91588;4,48772;1946,30054;5,6528;-1371,4145;5,98423;5434,96443;5,24;15610,60247;6,32726;18235,83965;6,75217;19521,18931;2,975;8905,90656;3,51087;12865,31059;3,70489;15277,72982;4,16685;18245,38625;9,29457;847,85569;4,87396;1398,53769;9,20218;3784,61254;3,91756;2641,07397;3,99131;1991,8972;3,83424;2582,37931;4,04699;1171,35313;3,77042;1145,85108;3,8256;2429,54234;3,79801;6196,36396;5,51769;5792,05527;4,7636;6620,6066;5,72;6626,78203;9,13178;5000,58396;3,83479;5726,34099
6,83377;1964,126;7,71016;2383,80742;6,70136;3554,78354;5,04993;15596,79563;4,90684;1744,68427;4,06176;2571,06188;4,69701;1240,31965;5,91371;-1511,62066;6,26774;4225,76503;5,48702;15907,88938;6,61508;18421,64765;7,07048;19847,16701;3,11303;8842,8671;3,67376;12049,55021;3,87678;14464,43167;4,36017;18210,77392;9,7258;706,14096;5,10127;1255,87132;9,62912;2787,34232;4,10026;2071,64983;4,17648;1627,9139;4,01213;2085,68915;4,23379;1018,64158;3,94626;1124,13401;4,00401;1934,4462;3,97514;6182,48371;5,77502;4842,40913;4,98577;6642,43063;5,98677;6642,5321;9,55765;4042,26823;4,01364;5047,47807
7,13667;1853,84001;8,04853;2190,41528;6,99584;3211,63896;5,26658;13713,5293;5,12433;1524,57461;4,24179;1939,37708;4,9052;826,99988;6,17324;-1610,7153;6,54975;3285,26856;5,73316;16006,93336;6,90187;17918,41832;7,38765;19923,23822;3,25033;8619,43847;3,83579;9688,74981;4,04777;12995,3812;4,55247;17557,08317;10,15474;594,97786;5,32737;1156,85068;10,0538;2123,00701;4,282;1703,30388;4,36068;1392,66154;4,18908;1732,77326;4,4196;908,77008;4,12117;1111,863;4,18148;1626,10192;4,15133;6173,61328;6,03099;3930,35715;5,20675;6660,42658;6,25212;6670,47045;9,98128;3067,54007;4,19154;4147,54862
