13BD 10p.csv Xt (mM);13BD 10p.csv ∆H (J/mol);13BD 15p-2.csv Xt (mM);13BD 15p-2.csv ∆H (J/mol);13BD 15p.csv Xt (mM);13BD 15p.csv ∆H (J/mol);13BD 20p.csv Xt (mM);13BD 20p.csv ∆H (J/mol);13BD 5p.csv Xt (mM);13BD 5p.csv ∆H (J/mol);Agua 2018.csv Xt (mM);Agua 2018.csv ∆H (J/mol);DMSO 05p.csv Xt (mM);DMSO 05p.csv ∆H (J/mol);DMSO 10p.csv Xt (mM);DMSO 10p.csv ∆H (J/mol);DMSO 15p-3.csv Xt (mM);DMSO 15p-3.csv ∆H (J/mol);DMSO 20p-2.csv Xt (mM);DMSO 20p-2.csv ∆H (J/mol);DMSO 25p.csv Xt (mM);DMSO 25p.csv ∆H (J/mol);DMSO 30p.csv Xt (mM);DMSO 30p.csv ∆H (J/mol);Glic 10p-2.csv Xt (mM);Glic 10p-2.csv ∆H (J/mol);Glic 20p.csv Xt (mM);Glic 20p.csv ∆H (J/mol);Glic 30p.csv Xt (mM);Glic 30p.csv ∆H (J/mol);Glic 40p-2.csv Xt (mM);Glic 40p-2.csv ∆H (J/mol);Glic 50p.csv Xt (mM);Glic 50p.csv ∆H (J/mol);Glic 5p.csv Xt (mM);Glic 5p.csv ∆H (J/mol);Glic 60p.csv Xt (mM);Glic 60p.csv ∆H (J/mol);Sac 10p.csv Xt (mM);Sac 10p.csv ∆H (J/mol);Sac 20p.csv Xt (mM);Sac 20p.csv ∆H (J/mol);Sac 30p.csv Xt (mM);Sac 30p.csv ∆H (J/mol);Sac 40p.csv Xt (mM);Sac 40p.csv ∆H (J/mol);Sac 50p.csv Xt (mM);Sac 50p.csv ∆H (J/mol);Sac 5p.csv Xt (mM);Sac 5p.csv ∆H (J/mol);Ureia 10p.csv Xt (mM);Ureia 10p.csv ∆H (J/mol);Ureia 15p.csv Xt (mM);Ureia 15p.csv ∆H (J/mol);Ureia 20p-2.csv Xt (mM);Ureia 20p-2.csv ∆H (J/mol);Ureia 25p-2.csv Xt (mM);Ureia 25p-2.csv ∆H (J/mol);Ureia 30p.csv Xt (mM);Ureia 30p.csv ∆H (J/mol);Ureia 5p.csv Xt (mM);Ureia 5p.csv ∆H (J/mol)
7,43796;1756,60344;8,3851;2040,99078;7,28927;2991,43108;5,48258;12253,94922;5,34066;1424,73675;4,42087;1592,67818;5,11229;541,94049;6,4314;-1676,51795;6,83027;2637,16535;5,97842;15510,36797;7,18762;15233,8607;7,70368;19400,23863;3,38689;8259,13076;3,99695;7216,82996;4,21784;11065,29866;4,74375;15281,04991;10,58141;505,45363;5,55228;1084,75954;10,47623;1678,82098;4,46277;1463,01173;4,54391;1213,8763;4,36509;1487,25771;4,60441;826,13247;4,29516;1095,78617;4,35801;1416,00944;4,32659;5961,14661;6,2856;3016,00227;5,42657;6651,48273;6,51607;6649,34975;10,40266;2414,32939;4,36849;3279,74225
7,73764;1663,75965;8,71988;1915,88629;7,58163;2703,10008;5,69791;10722,62332;5,55584;1318,04085;4,59899;1369,28112;5,31826;355,64508;6,68817;-1707,28044;7,1093;2189,77306;6,22279;14534,49341;7,47234;11923,89331;8,01858;19219,03686;3,52273;7498,68112;4,15726;5723,70902;4,387;9104,04474;4,93401;11251,26592;11,0058;447,02542;5,77598;1012,08372;10,8964;1372,92327;4,64258;1284,8023;4,72615;1072,21073;4,54017;1287,90485;4,78825;763,948;4,46821;1071,30358;4,5336;1273,88781;4,50091;5366,85322;6,53885;2368,98411;5,6452;6526,54072;6,7786;6436,52771;10,82179;2002,13444;4,5445;2571,87567
8,03571;1577,25549;9,05285;1801,30309;7,87293;2491,36227;5,91259;9397,31504;5,76986;1238,18748;4,77615;1215,22354;5,52313;224,65972;6,94356;-1747,79485;7,38683;1872,59533;6,46628;11731,79382;7,75602;9312,13349;8,33233;18141,0163;3,65784;6441,8007;4,3167;4629,72863;4,55526;7441,9055;5,12325;8319,6132;11,42791;384,37089;5,99849;961,76635;11,31431;1089,98976;4,82142;1148,65774;4,90741;991,7822;4,7143;1134,27699;4,97109;700,08492;4,64034;1041,97382;4,70824;1150,52836;4,67429;4550,08927;6,79074;1936,09013;5,86267;6129,12905;7,03973;5828,17337;11,23867;1691,21099;4,71956;2080,72958
8,33217;1522,69615;9,38403;1702,17705;8,16317;2384,8743;6,12659;8292,05697;5,98273;1177,10645;4,95236;1111,00089;5,7269;130,18309;7,19758;-1780,16604;7,66286;1639,93814;6,70888;8757,21474;8,03867;7658,06737;8,64494;15282,51302;3,79222;5311,1655;4,47529;3636,66478;4,72261;5980,53304;5,31146;6851,47685;11,84774;339,60299;6,21979;923,36681;11,72997;937,68419;4,9993;1061,38118;5,0877;921,62715;4,88749;1012,75995;5,15294;660,72224;4,81153;1026,76442;4,88195;1074,75803;4,84674;3767,59902;7,04127;1653,74786;6,07896;5512,4275;7,29945;5031,62978;11,6533;1484,93696;4,89368;1760,4399
8,62702;1465,29517;9,71341;1610,40545;8,45235;2250,5356;6,33994;7335,07674;6,19444;1121,66079;5,12761;1021,9068;5,92956;52,9338;7,45021;-1794,87244;7,9374;1457,7155;6,95059;7116,78094;8,32029;6500,72819;8,95641;12228,03558;3,92587;4354,05368;4,63301;2902,05433;4,88905;4798,76093;5,49865;5896,49988;12,26529;288,44219;6,43989;882,02353;12,14337;775,10023;5,17621;981,67567;5,267;858,87034;5,05974;924,3854;5,33381;603,86348;4,9818;1022,79484;5,05471;1013,26606;5,01825;3024,25148;7,29044;1455,8369;6,29408;4727,01927;7,55776;4285,95203;12,06568;1334,49076;5,06686;1535,05706
8,92027;1414,00372;10,04099;1521,1518;8,74047;2087,08457;6,55263;6546,83128;6,405;1080,12717;5,3019;956,51917;6,13111;-11,24559;7,70146;-1800,43103;8,21044;1321,40345;7,19142;6157,18137;8,60087;5560,81817;9,26674;9904,71624;4,05879;3566,08137;4,78987;2381,9937;5,05458;3895,25341;5,68482;4847,01308;12,68056;260,10833;6,65879;858,84151;12,55451;679,45029;5,35216;923,96533;5,44533;809,64535;5,23105;853,69913;5,51369;574,15376;5,15114;1002,42259;5,22652;953,86993;5,18883;2454,05784;7,53825;1296,15323;6,50803;3975,02493;7,81466;3537,53183;12,47581;1218,044;5,23909;1378,86767
9,2119;1366,47953;10,36677;1462,31215;9,02753;2011,15486;6,76465;5910,33596;6,6144;1037,83802;5,47524;903,51815;6,33156;-53,44258;7,95134;-1815,67678;8,48199;1209,01655;7,43137;5253,24784;8,88042;4631,67085;9,57593;8450,47026;4,19098;2939,98276;4,94587;1986,78641;5,2192;3188,13503;5,86997;3865,20922;13,09355;231,62313;6,87649;829,06489;12,96339;583,7041;5,52714;879,03097;5,62268;767,6988;5,40141;794,82812;5,69258;560,17677;5,31955;992,70767;5,3974;917,4594;5,35847;2048,54996;7,78471;1177,37774;6,7208;3232,06701;8,07014;2840,79628;12,88369;1126,15176;5,41037;1239,67941
9,50193;1324,38342;10,69075;1402,2014;9,31353;1933,1517;6,97601;5336,02525;6,82265;992,38121;5,64763;856,23309;6,5309;-93,37949;8,19983;-1816,59262;8,75204;1119,70938;7,67043;4292,47126;9,15894;3798,64995;9,88398;7537,1371;4,32244;2460,50085;5,10101;1696,74765;5,38291;2648,4179;6,0541;3142,10095;13,50426;215,57002;7,09299;802,93064;13,37002;516,69358;5,70116;837,04046;5,79905;733,79834;5,57084;733,91803;5,87049;524,67876;5,48703;947,39741;5,56733;874,60112;5,52718;1770,63739;8,0298;1084,07897;6,93239;2625,28591;8,32422;2364,59566;13,28932;1047,72993;5,58071;1152,03287
9,79035;1278,78967;11,01293;1344,80647;9,59847;1820,1326;7,18671;4835,46889;7,02974;963,00011;5,81905;819,21769;6,72914;-120,19728;8,44694;-1833,7725;9,02059;1047,73985;7,90861;3646,6347;9,43643;3282,59362;10,19089;6754,09758;4,45317;2080,27751;5,25529;1472,76396;5,54572;2228,13907;6,2372;2590,18325;13,91269;183,61533;7,30829;779,83449;13,7744;464,7768;5,87421;793,59675;5,97444;702,36809;5,73933;686,54175;6,0474;504,57672;5,65358;945,96808;5,73632;837,90038;5,69495;1547,76418;8,27353;1000,48636;7,14282;2228,05064;8,5769;2012,94929;13,6927;985,09323;5,75011;1058,39029
10,07716;1241,489;11,33331;1298,81522;9,88235;1754,92688;7,39674;4439,76173;7,23568;928,90461;5,98952;791,17382;6,92627;-141,2295;8,69268;-1841,4905;9,28765;983,07738;8,1459;3116,59612;9,71288;2849,41313;10,49666;5803,46494;4,58317;1780,60299;5,40871;1283,6432;5,70761;1903,58906;6,41928;2157,11264;14,31885;166,70335;7,52238;748,76813;14,17651;398,82234;6,04629;764,14329;6,14885;674,86476;5,90688;655,57453;6,22333;485,17259;5,8192;926,85694;5,90436;808,27681;5,86178;1386,04024;8,51591;1110,76393;7,35207;1919,06316;8,82816;1763,63138;14,09383;930,5014;5,91856;1001,25801
10,36236;1203,01295;11,65189;1251,19984;10,16517;1715,83954;7,60612;4094,83381;7,44046;898,04094;6,15903;760,67162;7,1223;-173,08751;8,93703;-1849,35647;9,55322;926,06201;8,38231;2654,42746;9,98829;2433,06563;10,8013;4875,73656;4,71244;1559,09681;5,56127;1139,47548;5,8686;1635,8661;6,60034;1825,19238;14,72272;147,94934;7,73528;741,17408;14,57637;354,8697;6,21741;736,36198;6,32228;647,62596;6,07349;613,50079;6,39827;468,19009;5,9839;919,19108;6,07147;780,92751;6,02768;1242,10519;8,75692;901,4328;7,56014;1683,49603;9,07801;1567,276;14,4927;886,34019;6,08606;951,4463
10,64595;1170,43297;11,96868;1200,10798;10,44693;1629,17722;7,81483;3824,70622;7,64409;871,123;6,32759;731,49305;7,31722;-183,8404;9,18;-1854,73459;9,81729;872,29368;8,61783;2339,91741;10,26268;2159,55073;11,10479;4245,81623;4,84098;1383,57946;5,71296;1031,0722;6,02868;1437,1347;6,78038;1589,779;15,12431;129,603;7,94698;722,34364;14,97397;322,60446;6,38757;708,68009;6,49473;630,79847;6,23915;593,98945;6,57222;453,88009;6,14766;955,39829;6,23763;765,26665;6,19264;1158,83783;8,99658;857,33061;7,76704;1488,11398;9,32645;1406,59226;14,88933;845,34844;6,25262;899,10595
10,92793;1139,95774;12,28366;1158,26328;10,72763;1561,38142;8,02288;3592,44804;7,84656;855,17895;6,49519;722,12748;7,51103;-198,19439;9,4216;-1858,56566;10,07986;835,8306;8,85247;2087,10481;10,53603;1938,83839;11,40714;3731,84073;4,9688;1235,77177;5,8638;940,87144;6,18785;1271,11722;6,9594;1390,85738;15,52363;113,73512;8,15747;703,33902;15,36932;282,90898;6,55676;689,32079;6,66621;604,25748;6,40388;563,01853;6,74518;438,09873;6,3105;788,72899;6,40284;739,04659;;;9,23487;818,36332;7,97277;1353,87712;9,57348;1278,32323;15,28371;812,77436;6,41824;859,75428
11,20831;1115,28683;;;11,00727;1539,27428;8,23027;3391,96276;8,04788;833,71242;6,66184;692,67458;7,70374;-215,86032;9,66181;-1866,56692;10,34094;795,00854;9,08623;1868,48438;10,80834;1739,3687;11,70835;3266,65153;5,09588;1127,58659;6,01377;857,23996;6,34611;1135,02868;7,13739;1217,82098;15,92066;114,18839;8,36676;688,90127;15,7624;247,1021;6,72498;675,67359;6,83671;581,19802;6,56767;542,79165;6,91716;428,53221;6,4724;105,43921;6,56712;720,56669;;;9,47181;790,83446;8,17733;1238,86037;9,81911;1184,13144;15,67584;784,3093;6,58291;825,59593
11,48707;1079,62915;;;11,28585;1486,90603;8,43699;3173,59577;8,24804;804,66715;6,82753;675,41132;7,89534;-218,3532;9,90065;-1867,2055;10,60052;765,64717;9,31909;1689,39154;11,07963;1558,91917;12,00842;2894,97431;5,22223;1029,14742;6,16288;804,85825;6,50346;1018,70618;7,31437;1091,69123;16,31542;99,06094;8,57486;672,59324;16,15324;235,31337;6,89224;650,00258;7,00622;573,59884;6,73051;528,04734;7,08815;408,3337;;;6,73045;701,2705;;;9,70738;754,83105;8,38071;1129,8721;10,06332;1097,72102;16,06572;755,17774;6,74663;792,73986
11,76423;1061,85051;;;11,56336;1423,13529;8,64305;3021,1657;8,44705;787,40523;6,99226;660,90349;8,08584;-231,7585;10,1381;-1866,9171;10,85861;734,49434;9,55108;1556,70604;11,34988;1443,19503;12,30735;2623,48073;5,34785;948,7475;6,31113;750,38806;6,65991;922,32392;7,49032;972,36145;16,70789;92,10395;8,78175;660,55052;16,54181;207,93689;7,05854;639,64549;7,17476;567,38786;6,89242;507,16038;7,25815;399,02089;;;6,89284;689,49159;;;9,9416;722,66509;8,58292;1049,23708;10,30613;1032,66295;16,45335;729,09333;6,90941;767,95162
;;;;;;8,84845;2851,10836;;;;;;;;;;;9,78218;1445,09157;11,61909;1323,35137;12,60514;2372,89352;;;;;;;;;;;8,98744;646,51727;;;;;;;;;;;;;7,05429;671,93328;;;;;;;;;;;;
;;;;;;9,05319;2682,81302;;;;;;;;;;;10,01239;1332,18898;11,88727;1210,43209;12,90179;2145,18572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9,25727;2555,48086;;;;;;;;;;;10,24172;1246,02442;12,15442;1130,99926;13,1973;1982,27356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9,46068;2446,2981;;;;;;;;;;;10,47017;1168,73076;12,42054;1052,14061;13,49167;1820,32556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9,66343;2342,80031;;;;;;;;;;;10,69773;1096,58874;12,68562;984,53796;13,7849;1688,06384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9,86552;2256,07763;;;;;;;;;;;10,92441;1042,07638;12,94967;912,64278;14,077;1574,8689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;10,06695;2172,29619;;;;;;;;;;;11,1502;992,31979;13,21269;869,56194;14,36795;1472,73263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;10,26771;2094,50693;;;;;;;;;;;11,3751;944,73589;13,47467;817,21395;14,65776;1380,80887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;10,46782;2021,14698;;;;;;;;;;;11,59913;897,96118;13,73562;773,78819;14,94643;1288,92666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;10,66726;1946,23044;;;;;;;;;;;11,82226;864,20593;13,99553;731,81833;15,23396;1224,14327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;10,86604;1868,04513;;;;;;;;;;;12,04452;829,46511;14,25441;695,92324;15,52035;1155,13184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;11,06415;1801,96071;;;;;;;;;;;12,26588;793,66645;14,51226;658,36038;15,8056;1090,82213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;11,2616;1743,51828;;;;;;;;;;;12,48637;767,42759;14,76908;626,64648;16,08971;1048,35115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;11,4584;1689,61818;;;;;;;;;;;12,70596;739,47619;15,02486;604,09882;16,37268;994,6532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;11,65453;1656,31552;;;;;;;;;;;12,92468;717,05365;15,2796;575,8024;16,65451;954,51571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;11,84999;1607,57143;;;;;;;;;;;13,14251;695,49057;15,53332;554,3552;16,9352;914,34427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;12,0448;1552,07916;;;;;;;;;;;13,35945;671,4496;;;17,21475;876,99064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;12,23894;1521,40506;;;;;;;;;;;13,57551;494,56426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;12,43242;1475,39033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;12,62524;1429,39904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;12,81739;1395,59554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;13,00889;1365,66931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;13,19972;1325,70374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;13,38989;1298,95677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;13,5794;1268,28454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
