Ur15-1 w;Ur15-1 G1;Ur15-1 G2;Ur15-1 T
0,06283;0,5702;5,078;25,0
0,08115;0,9189;6,481;25,0
0,1048;1,478;8,221;25,0
0,1354;2,381;10,39;25,0
0,1748;3,792;12,97;25,0
0,2258;5,962;15,93;25,0
0,2916;9,063;18,97;25,0
0,3767;13,33;21,80;25,0
0,4865;18,63;23,91;25,0
0,6283;24,55;24,77;25,0
0,8115;30,50;24,28;25,0
1,048;36,05;22,65;25,0
1,354;40,48;20,21;25,0
1,748;44,07;17,37;25,0
2,258;46,77;14,65;25,0
2,916;48,49;12,03;25,0
3,767;49,77;9,864;25,0
4,865;50,24;7,914;25,0
6,283;51,09;6,465;25,0
8,115;51,42;5,302;25,0
10,48;51,92;4,377;25,0
13,54;52,11;3,745;25,0
17,48;52,76;3,466;25,0
22,58;52,66;3,311;25,0
29,16;52,71;3,125;25,0
37,67;58,62;4,102;25,0
48,65;64,79;1,582;25,0
62,83;52,13;20,06;25,0
