13BD25-2 w;13BD25-2 G1;13BD25-2 G2;13BD25-2 T
0,06283;0,00002733;0,003051;25,0
0,08115;0,00002628;0,003896;25,0
0,1048;0,000001342;0,005025;25,0
0,1354;0,00004691;0,006412;25,0
0,1748;0,00001779;0,008245;25,0
0,2258;0,0001214;0,01067;25,0
0,2916;0,0001285;0,01388;25,0
0,3767;0,0001261;0,01786;25,0
0,4865;0,0001374;0,02288;25,0
0,6283;0,0002050;0,02971;25,0
0,8115;0,0001795;0,03850;25,0
1,048;0,002527;0,05084;25,0
1,354;0,006747;0,07038;25,0
1,748;0,01402;0,09947;25,0
2,258;0,1679;0,09230;25,0
2,916;0,008097;0,04821;25,0
3,767;0,06785;0,2390;25,0
4,865;0,08955;0,4580;25,0
6,283;0,09748;0,3009;25,0
8,115;0,2309;0,5836;25,0
10,48;0,1477;0,5520;25,0
13,54;0,1652;0,07095;25,0
17,48;0,5605;1,274;25,0
22,58;4,140;0,4121;25,0
29,16;15,68;5,337;25,0
37,67;4,373;7,333;25,0
48,65;2,349;24,92;25,0
62,83;17,26;2,797;25,0
