adit;conc;nasal;pto_final;g0;g0err;tr1;tr1err;tr2;tr2err;R2;R2lin
DMSO;15;60;23;34.41471282682345;0.2239612114165719;9.39630895835596;0.23992381027035312;0.003136234709757435;0.0008038132880572217;0.971;0.969
DMSO;15;100;26;51.08777692344609;0.24460359131232332;0.23867074111911313;0.002752579438886333;9.539219365861662e-05;0.00019044269046223104;0.998;0.998
DMSO;15;260;26;49.67508495865538;0.21523050310284653;0.1585796924270919;0.0015724352908514148;0.0011001768582983296;0.00016236932145430297;0.999;0.999
DMSO;25;60;24;25.281933200063378;0.372451774947489;1.4864255594043612;0.06204722926246166;0.007104472827457631;0.0011831299918173158;0.966;0.964
DMSO;25;100;16;43.93328680481117;0.1822087151816544;0.221991601924586;0.0021547869903478243;0.0008772695698335831;0.00020368966275569465;0.999;0.998
DMSO;25;260;20;56.516490070172765;0;0.04093924150080963;0;2.1584396492357882e-09;0;0.975;0.973
13BD;15;100;26;47.55242461276449;0;0.05151718070264488;0;4.935911679382343e-10;0;0.999;0.999
13BD;15;260;27;22.79847015200608;2.5612717431280867;0.023798268165061698;0.0034954329119041127;0.010744996722383826;0.0020337362705605973;0.975;0.974
13BD;25;100;21;0.5337966962972813;0.19685881266350358;0.11662085357373475;0.062363674669850905;0.03276661491354793;0.030985919497309403;0.602;0.581
Glicerina;30;60;19;35.46394240261613;0.21680613411248378;6.456274168800895;0.12385473835542823;0.00842493475099193;0.0018026309277667952;0.988;0.988
Glicerina;30;100;25;53.60982318614276;0.14942340693241554;0.4364167048040606;0.003057454388830734;0.001421681180356904;0.0001508523793188526;0.999;0.999
Glicerina;30;260;24;51.81162954168149;0.14136015837680357;0.6424012267635728;0.004478950942714026;0.0018478313532903634;0.00019437259774428736;0.999;0.999
Glicerina;60;60;18;26.266311452288235;0;0.027338318560390595;0;3.4708047547127308e-09;0;0.901;0.894
Glicerina;60;100;25;42.61578569327498;0.19988599307730373;0.21274836787390328;0.002289389605416282;0.0034481124240826055;0.00022826978840742086;0.999;0.998
Glicerina;60;260;26;44.12209966497671;0.321724922131576;0.04641519559465035;0.0006310975381392472;0.000871925339398727;0.00020993368679453093;0.999;0.999
Sacarose;50;60;35;56.27743922140631;0.5703818950770334;24.647742520869308;0.9624390977306189;0.004995641073812118;0.0006774693873190345;0.954;0.952
Sacarose;50;100;26;59.1678404982847;0.19195827400356372;0.2548743726264746;0.002005141351793143;0.002681757740057522;0.00013071566456335028;0.999;0.999
Sacarose;50;260;26;55.560911335089195;0.3752035025886945;2.6499897548013767;0.057516868159158505;0.004661014620434445;0.00037003022887611455;0.989;0.988
Ureia;5;60;18;42.72428115597239;0.27859487254998655;55.19661854360257;1.0543975939689816;0.04357651734390444;0.023536251822157274;0.990;0.989
Ureia;5;100;34;62.92335696109533;0.1776673937700626;0.758905915426374;0.005756274091250753;0.000800820123348478;0.00016537256547462822;0.999;0.999
Ureia;5;260;23;50.93105887680134;0.12669331098640366;2.5433967773432187;0.018677397770890017;0.001455060343431347;0.00026642346454803183;0.999;0.999
Ureia;15;60;23;35.282885623950264;0.26600928959840886;14.238265973725333;0.510333922741889;0.0029028151480487985;0.0009630428783384142;0.928;0.925
Ureia;15;100;23;54.307908899355155;0.10787878172668912;4.382644376718266;0.02797529452182895;0.0013345794809034306;0.00022694472345110274;0.999;0.999
Ureia;15;260;24;53.49606553046553;0.17924423889149074;1.4805494077400319;0.014050591750766145;0.0014276866741125271;0.0002679446460034133;0.998;0.998
Ureia;30;60;27;20.583318971520335;1.1790676377207323;0.14707614514276468;0.01960816740225739;0.0045935015025151404;0.0017228294241179748;0.786;0.777
Ureia;30;100;13;49.94583516258102;0.17394166641028083;6.745857684196356;0.07701302327657443;0.0028575835677548955;0.0008776561681159643;0.997;0.997
Ureia;30;260;25;50.06722634462331;0.19496570390866425;0.580818614347592;0.005888212685330125;0.0012065044130504798;0.00021973202832613572;0.998;0.998
