Glic30-1 w;Glic30-1 G1;Glic30-1 G2;Glic30-1 T
0,0628;6,14;12,6;25,1
0,0811;8,86;14,4;25,1
0,105;12,2;15,8;25,1
0,135;16,0;16,4;25,1
0,175;19,9;16,3;25,1
0,226;23,6;15,4;25,1
0,292;26,7;13,9;25,1
0,377;29,2;12,2;25,1
0,486;31,1;10,4;25,1
0,628;32,6;8,78;25,1
0,811;33,6;7,31;25,1
1,05;34,3;6,07;25,1
1,35;34,9;5,09;25,1
1,75;35,3;4,30;25,1
2,26;35,7;3,72;25,1
2,92;36,0;3,24;25,1
3,77;36,3;2,94;25,1
4,86;36,4;2,63;25,1
6,28;36,6;2,55;25,1
8,11;36,9;2,42;25,1
10,5;37,2;2,43;25,1
13,5;37,4;2,64;25,1
17,5;37,7;2,40;25,1
22,6;37,9;2,46;25,1
29,2;39,0;4,99;25,1
37,7;44,6;5,72;25,1
48,6;44,8;9,10;25,1
62,8;38,4;4,27;25,1
