Ur15-3 w;Ur15-3 G1;Ur15-3 G2;Ur15-3 T
0,06283;0,5693;5,313;25,0
0,08115;0,9222;6,736000000000001;25,0
0,1048;1,492;8,526;25,0
0,1354;2,408;10,74;25,0
0,1748;3,8510000000000004;13,4;25,0
0,2258;6,047000000000001;16,41;25,0
0,2916;9,177999999999999;19,54;25,0
0,3767;13,53;22,48;25,0
0,4865;18,98;24,72;25,0
0,6283;25,13;25,69;25,0
0,8115;31,37;25,22;25,0
1,048;37,06;23,64;25,0
1,354;41,73;21,02;25,0
1,7480000000000002;45,38;18,15;25,0
2,258;48,4;15,36;25,0
2,9160000000000004;50,15;12,57;25,0
3,767;51,36;10,28;25,0
4,865;52,16;8,249;25,0
6,2829999999999995;52,78;6,7989999999999995;25,0
8,115;53,26;5,602;25,0
10,48;53,68;4,7010000000000005;25,0
13,54;54,08;3,97;25,0
17,48;53,89;3,798;25,0
22,58;54,6;3,282;25,0
29,16;54,71;2,474;25,0
37,67;62,6;7,147;25,0
48,65;59,55;7,979;25,0
62,83;47,33;1,903;25,0
