Glic60-2 w;Glic60-2 G1;Glic60-2 G2;Glic60-2 T
0,0628;0,00805;0,608;25,1
0,0811;0,0138;0,778;25,1
0,105;0,0235;0,998;25,1
0,135;0,0393;1,28;25,1
0,175;0,0659;1,65;25,1
0,226;0,109;2,12;25,1
0,292;0,182;2,72;25,1
0,377;0,301;3,50;25,1
0,486;0,497;4,49;25,1
0,628;0,818;5,74;25,1
0,811;1,34;7,30;25,1
1,05;2,18;9,21;25,1
1,35;3,50;11,5;25,1
1,75;5,49;14,0;25,1
2,26;8,34;16,6;25,1
2,92;12,1;18,8;25,1
3,77;16,7;20,4;25,1
4,86;21,7;20,9;25,1
6,28;26,5;20,3;25,1
8,11;30,8;18,9;25,1
10,5;34,1;17,0;25,1
13,5;36,8;15,1;25,1
17,5;38,7;13,4;25,1
22,6;40,2;12,1;25,1
29,2;41,4;11,0;25,1
37,7;43,8;10,6;25,1
48,6;44,8;5,51;25,1
62,8;31,8;8,13;25,1
