Ur5-3 w;Ur5-3 G1;Ur5-3 G2;Ur5-3 T
0,06283;1,442;8,134;25,0
0,08115;2,3169999999999997;10,26;25,0
0,1048;3,698;12,8;25,0
0,1354;5,832000000000001;15,75;25,0
0,1748;8,946;18,82;25,0
0,2258;13,27;21,7;25,0
0,2916;18,63;23,74;25,0
0,3767;24,63;24,58;25,0
0,4865;30,69;23,99;25,0
0,6283;36,04;22,2;25,0
0,8115;40,58;19,66;25,0
1,048;43,96;16,78;25,0
1,354;46,45;14,08;25,0
1,7480000000000002;48,16;11,49;25,0
2,258;49,29;9,247;25,0
2,9160000000000004;49,95;7,468;25,0
3,767;50,72;6,126;25,0
4,865;50,34;4,854;25,0
6,2829999999999995;50,95;4,043;25,0
8,115;51,03;3,488;25,0
10,48;51,26;2,964;25,0
13,54;51,38;2,6180000000000003;25,0
17,48;51,45;2,131;25,0
22,58;51,8;2,044;25,0
29,16;52,36;2,8280000000000003;25,0
37,67;41,02;10,9;25,0
48,65;57,56;24,03;25,0
62,83;107,0;15,73;25,0
