Ur15-1 w;Ur15-1 G1;Ur15-1 G2;Ur15-1 T
0,06283;15,47;15,98;25,39
0,08115;21,91;15,27;24,8
0,1048;22,22;14,91;25,59
0,1354;28,62;11,89;24,26
0,1748;29,31;11,02;24,99
0,2258;30,72;9,605;25,02
0,2916;31,10;8,756;25,73
0,3767;31,67;7,899;25,94
0,4865;33,36;5,590;24,9
0,6283;34,24;4,161;24,31
0,8115;34,69;3,388;24,0
1,048;34,93;2,861;23,98
1,354;35,20;2,551;24,23
1,748;35,36;2,296;24,48
2,258;35,58;2,137;24,66
2,916;35,74;1,955;24,77
3,767;36,08;1,887;24,82
4,865;35,99;1,737;24,87
6,283;36,05;1,764;24,91
8,115;36,59;1,639;24,94
10,48;36,76;1,638;24,96
13,54;36,97;1,537;24,97
17,48;37,04;1,629;24,98
22,58;37,09;1,532;24,99
29,16;33,82;1,056;24,99
37,67;50,53;1,755;25,0
48,65;41,45;21,55;25,0
62,83;41,32;2,606;25,0
