Sac50-3 w;Sac50-3 G1;Sac50-3 G2;Sac50-3 T
0,0628;1,72;9,37;25,0
0,0811;2,78;11,8;25,0
0,105;4,46;14,6;25,0
0,135;6,99;17,9;25,0
0,175;10,7;21,2;25,1
0,226;15,5;24,0;25,1
0,292;21,5;25,9;25,1
0,377;28,0;26,4;25,1
0,486;34,3;25,3;25,1
0,628;39,7;23,0;25,1
0,811;44,2;20,2;25,1
1,05;47,5;17,2;25,1
1,35;49,7;14,4;25,1
1,75;51,3;12,0;25,1
2,26;52,1;9,98;25,1
2,92;52,8;8,44;25,1
3,77;53,3;7,28;25,1
4,86;53,9;6,49;25,1
6,28;54,4;6,00;25,1
8,11;54,8;5,78;25,1
10,5;55,3;5,81;25,1
13,5;55,9;6,08;25,1
17,5;56,5;6,56;25,1
22,6;57,1;7,24;25,1
29,2;57,9;8,10;25,1
37,7;60,0;9,09;25,1
48,6;62,0;12,6;25,1
62,8;34,8;1,60;25,1
