DMSO15-2 w;DMSO15-2 G1;DMSO15-2 G2;DMSO15-2 T
0,0628;0,0107;0,789;25,0
0,0811;0,0188;1,02;25,0
0,105;0,0323;1,31;25,0
0,135;0,0548;1,69;25,0
0,175;0,0922;2,18;25,0
0,226;0,155;2,81;25,0
0,292;0,259;3,62;25,0
0,377;0,433;4,65;25,0
0,486;0,721;5,97;25,0
0,628;1,19;7,64;25,0
0,811;1,97;9,71;25,0
1,05;3,20;12,2;25,0
1,35;5,12;15,1;25,0
1,75;7,98;18,3;25,0
2,26;12,0;21,3;25,0
2,92;17,2;23,6;25,0
3,77;23,1;24,8;25,0
4,86;29,2;24,5;25,0
6,28;35,0;22,9;25,0
8,11;39,7;20,3;25,0
10,5;43,2;17,5;25,0
13,5;45,7;14,7;25,0
17,5;47,4;12,1;25,0
22,6;48,6;10,0;25,0
29,2;49,4;8,23;25,0
37,7;52,2;6,24;25,0
48,6;53,9;3,50;25,0
62,8;34,2;0,134;25,0
