Aditivo;Conc. Adit;Conc NaSal;Maxwell;err;OldroydB;err;Jeffreys1;err;Jeffreys2;err;Dois Modos1;err;Dois Modos2;err
DMSO;15;60;9.3421428515163;0.27342380776325426;9.396300891460802;0.23992133286632655;9.396308958355961;0.2399238102703531;0.003136234709757435;0.0008038132880572217;10.078861532538557;0.14723330293703604;0.31547143639763586;0.0433148334272678
DMSO;15;100;0.23815482178697425;0.0025412210315502505;0.23867079166614924;0.0027525848694307546;0.23867074111911316;0.002752579438886333;9.539219365861662e-05;0.00019044269046223104;0.2562351124534912;0.005555459440750725;0.05929624027355995;0.017186498085124315
DMSO;15;260;0.15356309556180725;0.0018463660840292218;0.1585797381090539;0.001572443808690413;0.1585796924270919;0.0015724352908514148;0.0011001768582983298;0.00016236932145430294;0.16569119176247038;0.0017448225259464776;0.021717557543569518;0.0037648849706836025
DMSO;25;60;1.4154352139972848;0.07691358781127948;1.4864227563096404;0.062046648166260834;1.4864255594043612;0.062047229262461666;0.007104472827457632;0.0011831299918173158;1.7784757750347846;0.03299912109515783;0.08906309632817644;0.006406653217417921
DMSO;25;100;0.21778122301037328;0.0023722408974439163;0.22199157944685832;0.002154782403605812;0.22199160192458603;0.0021547869903478247;0.0008772695698335831;0.00020368966275569462;0.23319122164063244;0.0020729562232463267;0.04329298131818815;0.006147290627604035
DMSO;25;260;0.0409393317661817;0.0016264692614274675;0.03633225680039254;0.001519379623060811;0.04093924150080963;0.0;2.158439649235788e-09;0.0;0.1101132007413057;0.10980216166907378;0.03496347977720915;0.006423306270512818
13BD;15;100;0.051517179796370494;0.0004269632088777282;0.05150734074052688;0.0006511197711551282;0.05151718070264488;0.0;4.935911679382343e-10;0.0;0.10595587843092737;0.03456518194036473;0.045982162431257516;0.0025936443228924376
13BD;15;260;0.008089956862701753;0.0006000794864698268;0.023798300097865432;0.0034954319564952023;0.023798268165061698;0.0034954329119041127;0.010744996722383826;0.0020337362705605973;0.02380060336991141;0.005757687567041648;1.171429728108464e-06;0.002258662950469141
13BD;25;100;0.0697888885070832;0.015223638777016931;0.1165638298875955;0.062374728993519125;0.11662085357373475;0.0623636746698509;0.03276661491354793;0.030985919497309406;10.776733179510165;0.0;0.0697889682144488;0.0
Glicerina;30;60;6.366486510828117;0.1512669138594182;6.456303791105302;0.12386215618392354;6.456274168800894;0.12385473835542825;0.00842493475099193;0.0018026309277667954;7.021358241220211;0.10230209547032627;0.6109245747263571;0.08638100200164782
Glicerina;30;100;0.4277742422224036;0.004800758686112227;0.4364168898405909;0.0030574885877548822;0.4364167048040606;0.003057454388830734;0.0014216811803569038;0.0001508523793188526;0.02889129630855969;0.0022503269871162784;0.4478274301319893;0.0015390637419498332
Glicerina;30;260;0.6305610881235444;0.007236197472406644;0.6424012743079659;0.004478958254243424;0.6424012267635728;0.0044789509427140255;0.0018478313532903636;0.00019437259774428736;0.6620980958481288;0.0031312143934851275;0.050303271976380966;0.004831460936928479
Glicerina;60;60;0.02733828566131713;0.0022289502969294072;0.013021227877298092;0.0018854320215234968;0.027338318560390595;0.0;3.4708047547127308e-09;0.0;0.18065621661722986;0.19182331306296369;0.0227548732000642;0.003958832674134538
