Ur15-1 w;Ur15-1 G1;Ur15-1 G2;Ur15-1 T
0,06283;16,40;16,14;25,02
0,08115;20,15;15,80;25,03
0,1048;23,60;14,79;25,03
0,1354;26,56;13,34;25,04
0,1748;28,96;11,65;25,04
0,2258;30,67;9,879;25,05
0,2916;31,92;8,274;25,05
0,3767;32,83;6,858;25,05
0,4865;33,47;5,673;25,05
0,6283;33,95;4,723;25,05
0,8115;34,32;3,980;25,05
1,048;34,65;3,397;25,05
1,354;34,93;2,957;25,05
1,748;35,20;2,619;25,05
2,258;35,49;2,365;25,05
2,916;35,72;2,168;25,05
3,767;36,20;2,059;25,05
4,865;36,15;1,817;25,06
6,283;36,31;1,916;25,05
8,115;36,87;1,706;25,06
10,48;36,88;1,785;25,06
13,54;36,96;2,013;25,06
17,48;37,09;1,558;25,06
22,58;37,01;1,568;25,06
29,16;42,15;2,091;25,06
37,67;38,92;3,880;25,06
48,65;43,54;29,43;25,06
62,83;43,95;4,780;25,05
