DMSO25-2 w;DMSO25-2 G1;DMSO25-2 G2;DMSO25-2 T
0,6283;0,9203;6,123;25,0
0,8115;1,489;7,769;25,0
1,048;2,401;9,785;25,0
1,354;3,848;12,19;25,0
1,748;6,010;14,83;25,0
2,258;9,089;17,49;25,0
2,916;13,23;19,83;25,0
3,767;18,18;21,24;25,0
4,865;23,54;21,49;25,0
6,283;28,70;20,48;25,0
8,115;32,98;18,55;25,0
10,48;36,49;16,15;25,0
13,54;38,88;13,65;25,0
17,48;40,74;11,46;25,0
22,58;42,01;9,566;25,0
29,16;43,09;7,891;25,0
37,67;45,10;6,516;25,0
48,65;47,53;3,295;25,0
62,83;30,99;1,573;25,0
81,15;57,60;12,62;25,0
104,8;65,85;0,8109;25,0
135,4;64,64;4,102;25,0
174,8;41,20;7,913;25,0
225,8;297,8;29,24;25,0
291,6;788,7;420,7;25,0
