Sac50-1 w;Sac50-1 G1;Sac50-1 G2;Sac50-1 T
0,00628;2,80;10,3;25,1
0,00811;4,33;12,8;25,1
0,0105;6,43;15,4;25,1
0,0135;9,31;17,9;25,1
0,0175;13,0;20,2;25,1
0,0226;17,3;21,9;25,1
0,0292;22,2;22,8;25,1
0,0377;27,3;23,1;25,1
0,0486;32,0;22,3;25,1
0,0628;36,4;21,0;25,1
0,0811;40,5;19,4;25,1
0,105;43,9;17,4;25,1
0,135;46,6;15,4;25,1
0,175;48,8;13,4;25,1
0,226;50,8;11,6;25,1
0,292;52,2;9,94;25,1
0,377;53,4;8,44;25,1
0,486;54,3;7,13;25,1
0,628;55,0;6,03;25,1
0,811;55,5;5,11;25,1
1,05;55,9;4,41;25,1
1,35;56,2;3,89;25,1
1,75;56,4;3,54;25,1
2,26;56,7;3,34;25,1
2,92;56,9;3,27;25,1
3,77;57,1;3,32;25,1
4,86;57,5;3,50;25,1
6,28;57,7;3,78;25,1
8,11;58,0;4,20;25,1
10,5;58,4;4,75;25,1
13,5;58,8;5,43;25,1
17,5;59,2;6,27;25,1
22,6;59,8;7,29;25,1
29,2;60,4;8,44;25,1
37,7;62,6;9,53;25,0
48,6;65,5;11,7;25,1
62,8;39,8;5,08;25,1
