Ur5-1 w;Ur5-1 G1;Ur5-1 G2;Ur5-1 T
0,0062829999999999995;5,744;13,05;25,0
0,008115;8,699;15,53;25,0
0,01048;12,25;17,54;25,0
0,01354;16,5;18,94;25,0
0,017480000000000002;21,04;19,49;25,0
0,022580000000000003;25,56;19,1;25,0
0,029160000000000002;29,84;17,9;25,0
0,03767;33,55;16,2;25,0
0,04865;36,4;14,09;25,0
0,06283;38,58;11,96;25,0
0,08115;40,33;9,951;25,0
0,1048;41,43;8,118;25,0
0,1354;42,21;6,585;25,0
0,1748;42,79;5,295;25,0
0,2258;43,18;4,231;25,0
0,2916;43,45;3,448;25,0
0,3767;43,63;2,793;25,0
0,4865;43,79;2,319;25,0
0,6283;43,91;1,9140000000000001;25,0
