Glic60-3 w;Glic60-3 G1;Glic60-3 G2;Glic60-3 T
0,0628;0,0000735;0,140;25,1
0,0811;0,000294;0,178;25,1
0,105;0,000747;0,228;25,2
0,135;0,00149;0,292;25,2
0,175;0,00275;0,376;25,2
0,226;0,00506;0,484;25,2
0,292;0,00882;0,623;25,2
0,377;0,0150;0,803;25,2
0,486;0,0252;1,04;25,2
0,628;0,0421;1,33;25,2
0,811;0,0702;1,72;25,2
1,05;0,117;2,22;25,2
1,35;0,193;2,86;25,2
1,75;0,318;3,67;25,2
2,26;0,524;4,71;25,2
2,92;0,861;6,03;25,2
3,77;1,41;7,68;25,2
4,86;2,28;9,69;25,2
6,28;3,64;12,1;25,2
8,11;5,69;14,7;25,2
10,5;8,63;17,5;25,2
13,5;12,5;19,9;25,2
17,5;17,2;21,7;25,2
22,6;22,3;22,4;25,2
29,2;27,1;22,1;25,2
37,7;33,1;21,7;25,2
48,6;36,0;16,5;25,2
62,8;50,7;20,1;25,2
