DMSO15-3 w;DMSO15-3 G1;DMSO15-3 G2;DMSO15-3 T
0,0628;0,00473;0,516;25,1
0,0811;0,00815;0,669;25,1
0,105;0,0137;0,857;25,1
0,135;0,0231;1,10;25,1
0,175;0,0389;1,41;25,2
0,226;0,0653;1,81;25,2
0,292;0,110;2,33;25,2
0,377;0,184;3,00;25,2
0,486;0,306;3,86;25,2
0,628;0,509;4,96;25,2
0,811;0,842;6,35;25,2
1,05;1,39;8,09;25,2
1,35;2,27;10,2;25,2
1,75;3,66;12,8;25,2
2,26;5,80;15,7;25,2
2,92;8,93;18,8;25,2
3,77;13,2;21,6;25,2
4,86;18,6;23,6;25,2
6,28;24,5;24,3;25,2
8,11;30,4;23,6;25,2
10,5;35,6;21,6;25,2
13,5;39,9;19,1;25,3
17,5;43,1;16,4;25,3
22,6;45,4;13,7;25,3
29,2;47,2;11,3;25,3
37,7;49,2;9,83;25,3
48,6;51,0;10,3;25,3
62,8;32,6;1,42;25,3
