Ur30-1 w;Ur30-1 G1;Ur30-1 G2;Ur30-1 T
0,06283;0,02602;0,4114;24,9
0,08115;0,03081;0,5003;24,89
0,1048;0,05738;0,6381;25,0
0,1354;0,06472;0,7175;25,2
0,1748;0,2014;1,181;24,84
0,2258;0,2500;1,330;25,0
0,2916;0,3653;1,591;25,04
0,3767;0,4509;1,737;25,47
0,4865;0,5854;1,983;25,71
0,6283;1,219;2,851;24,94
0,8115;2,331;3,857;24,1
1,048;3,371;4,512;24,05
1,354;4,088;4,861;24,38
1,748;4,771;5,151;24,64
2,258;5,526;5,435;24,78
2,916;6,360;5,734;24,85
3,767;7,244;6,006;24,91
4,865;8,225;6,297;24,93
6,283;9,218;6,556;24,96
8,115;10,27;6,792;24,97
10,48;11,34;7,001;24,98
13,54;12,46;7,197;24,99
17,48;13,64;7,384;24,99
22,58;14,70;7,543;24,99
29,16;16,29;7,897;24,99
37,67;21,80;7,105;24,99
48,65;23,16;10,19;24,99
62,83;34,80;8,117;25,0
