Glic30-3 w;Glic30-3 G1;Glic30-3 G2;Glic30-3 T
0,0628;0,0939;2,19;25,0
0,0811;0,156;2,80;25,0
0,105;0,258;3,60;25,0
0,135;0,428;4,61;25,1
0,175;0,707;5,91;25,0
0,226;1,17;7,55;25,0
0,292;1,91;9,58;25,1
0,377;3,09;12,1;25,1
0,486;4,93;14,9;25,1
0,628;7,68;18,1;25,1
0,811;11,6;21,2;25,1
1,05;16,6;23,7;25,1
1,35;22,5;25,0;25,1
1,75;28,8;25,1;25,1
2,26;34,6;23,7;25,1
2,92;39,5;21,3;25,1
3,77;43,5;18,6;25,1
4,86;46,0;15,6;25,1
6,28;48,3;13,1;25,1
8,11;49,7;10,8;25,1
10,5;50,6;9,00;25,1
13,5;51,3;7,58;25,1
17,5;51,8;6,49;25,1
22,6;52,3;5,66;25,1
29,2;52,7;4,98;25,1
37,7;53,8;2,75;25,1
48,6;55,4;5,07;25,0
62,8;49,5;5,06;25,1
