Ur30-2 w;Ur30-2 G1;Ur30-2 G2;Ur30-2 T
0,06283;8,592;18,25;25,0
0,08115;12,76;21,03;25,0
0,1048;17,92;23,02;25,0
0,1354;23,77;23,89;25,0
0,1748;29,47;23,33;25,0
0,2258;34,83;21,71;25,0
0,2916;39,17;19,31;25,0
0,3767;42,57;16,58;25,0
0,4865;45,03;13,85;25,0
0,6283;46,66;11,34;25,0
0,8115;47,80;9,172;25,0
1,048;48,50;7,388;25,0
1,354;49,04;5,928;25,0
1,748;49,57;4,799;25,0
2,258;49,66;3,859;25,0
2,916;49,81;3,251;25,0
3,767;50,56;2,731;25,0
4,865;49,92;2,299;25,0
6,283;50,61;1,925;25,0
8,115;50,55;1,920;25,0
10,48;50,49;1,705;25,0
13,54;50,16;1,944;25,0
17,48;51,50;0,9678;25,0
22,58;51,98;1,155;25,0
29,16;52,14;1,501;25,0
37,67;44,72;3,423;25,0
48,65;62,61;1,971;25,0
62,83;45,59;8,344;25,0
