Ur5-1 w;Ur5-1 G1;Ur5-1 G2;Ur5-1 T
0,06283;35,02;11,36;25,0
0,08115;36,41;9,228;25,0
0,1048;37,47;7,409;25,0
0,1354;38,12;5,954;25,0
0,1748;38,57;4,745;25,0
0,2258;38,83;3,8139999999999996;25,0
0,2916;39,06;3,1;25,0
0,3767;39,26;2,506;25,0
0,4865;39,4;2,0669999999999997;25,0
0,6283;39,5;1,7309999999999999;25,0
0,8115;39,6;1,466;25,0
1,048;39,73;1,224;25,0
1,354;39,81;1,064;25,0
1,7480000000000002;39,8;0,9296;25,0
2,258;39,86;0,8471;25,0
2,9160000000000004;39,9;0,8388;25,0
3,767;39,79;0,7954;25,0
4,865;40,63;0,6408;25,0
6,2829999999999995;40,43;0,6228;25,0
8,115;39,34;1,206;25,0
10,48;40,43;0,5763;25,0
13,54;39,8;0,9283;25,0
17,48;40,41;1,642;25,0
22,58;35,04;3,912;25,0
29,16;60,0;1,2109999999999999;25,0
37,67;79,51;41,18;25,0
48,65;83,2;0,8911;25,0
62,83;76,4;4,513;25,0
