Ur30-3 w;Ur30-3 G1;Ur30-3 G2;Ur30-3 T
0,06283;0,07601000000000001;1,9;25,0
0,09222000000000001;0,1656;2,786;25,0
0,1354;0,3582;4,0760000000000005;25,0
0,1987;0,7637;5,938;25,0
0,2916;1,6119999999999999;8,554;25,0
0,4281;3,327;12,07;25,0
0,6283;6,591;16,37;25,0
0,9222;12,08;20,65;25,0
1,354;19,82;23,52;25,0
1,9869999999999999;28,54;23,69;25,0
2,9160000000000004;36,29;21,21;25,0
4,281000000000001;42,08;17,42;25,0
6,2829999999999995;45,82;13,52;25,0
9,222000000000001;48,01;10,11;25,0
13,54;49,34;7,559;25,0
19,87;50,21;5,847;25,0
29,16;51,02;4,548;25,0
42,81;51,49;4,324;25,0
62,83;50,34;6,28;25,0
