Glic60-1 w;Glic60-1 G1;Glic60-1 G2;Glic60-1 T
0,628;0,0189;0,525;25,0
0,811;0,0311;0,675;25,0
1,05;0,0511;0,870;25,0
1,35;0,0840;1,12;25,0
1,75;0,138;1,44;25,0
2,26;0,225;1,84;25,0
2,92;0,366;2,34;25,0
3,77;0,589;2,97;25,0
4,86;0,931;3,72;25,0
6,28;1,44;4,59;25,0
8,11;2,15;5,55;25,0
10,5;3,10;6,56;25,0
13,5;4,24;7,61;25,0
17,5;5,58;8,71;25,0
22,6;7,08;9,93;25,0
29,2;7,45;9,91;25,0
37,7;12,6;10,8;25,0
48,6;14,9;11,2;25,0
62,8;28,4;13,1;25,0
