13BD15-2 w;13BD15-2 G1;13BD15-2 G2;13BD15-2 T
0,06283;0,0008042;0,1729;25,0
0,08115;0,0009430;0,2171;25,0
0,1048;0,001444;0,2778;25,0
0,1354;0,002390;0,3542;25,0
0,1748;0,004102;0,4533;25,0
0,2258;0,007037;0,5817;25,0
0,2916;0,01198;0,7468;25,0
0,3767;0,01987;0,9588;25,0
0,4865;0,03343;1,235;25,0
0,6283;0,05612;1,593;25,0
0,8115;0,09424;2,052;25,0
1,048;0,1559;2,638;25,0
1,354;0,2599;3,400;25,0
1,748;0,4336;4,372;25,0
2,258;0,7151;5,586;25,0
2,916;1,179;7,142;25,0
3,767;1,935;9,061;25,0
4,865;3,123;11,37;25,0
6,283;4,947;14,02;25,0
8,115;7,604;16,81;25,0
10,48;11,31;19,48;25,0
13,54;15,91;21,62;25,0
17,48;21,28;22,87;25,0
22,58;26,87;23,00;25,0
29,16;32,37;22,02;25,0
37,67;37,67;21,24;25,0
48,65;41,81;15,60;25,0
62,83;56,18;18,16;25,0
