DMSO25-1 w;DMSO25-1 G1;DMSO25-1 G2;DMSO25-1 T
0,06283;0,3614;2,708;25,0
0,08115;0,5812;3,417;25,0
0,1048;0,9363;4,306;25,0
0,1354;1,485;5,359;25,0
0,1748;2,338;6,595;25,0
0,2258;3,591;7,922;25,0
0,2916;5,263;9,163;25,0
0,3767;7,332;10,15;25,0
0,4865;9,814;10,79;25,0
0,6283;12,29;10,90;25,0
0,8115;14,68;10,55;25,0
1,048;16,77;9,914;25,0
1,354;18,55;9,055;25,0
1,748;19,99;8,159;25,0
2,258;21,20;7,356;25,0
2,916;22,18;6,660;25,0
3,767;23,01;6,071;25,0
4,865;23,84;5,638;25,0
6,283;24,50;5,236;25,0
8,115;25,23;4,951;25,0
10,48;25,90;4,750;25,0
13,54;26,54;4,591;25,0
17,48;27,11;4,467;25,0
22,58;28,07;4,360;25,0
29,16;29,04;4,202;25,0
37,67;30,45;2,982;25,0
48,65;31,59;2,684;25,0
62,83;35,15;6,604;25,0
