Glic60-3 w;Glic60-3 G1;Glic60-3 G2;Glic60-3 T
6,2829999999999995;3,638;12,07;25,06
8,115;5,678999999999999;14,72;25,05
10,48;8,617;17,45;25,05
13,54;12,52;19,88;25,05
17,48;17,24;21,64;25,04
22,58;22,46;22,45;25,04
29,16;27,25;22,11;25,04
37,67;32,94;21,39;25,04
48,65;37,69;21,05;25,04
62,83;31,24;15,95;25,03
81,15;41,73;15,91;25,03
104,8;50,56;11,8;25,03
135,4;57,69;30,14;25,02
174,8;54,27;49,36;25,03
225,8;236,0;35,1;25,02
291,6;638,0;111,2;25,02
376,7;1274,0;2027,0;25,02
486,5;5407,0;2740,0;25,02
628,3;18190,0;4724,0;25,01
