Ur15-2 w;Ur15-2 G1;Ur15-2 G2;Ur15-2 T
0,06283;4,518;14,26;25,0
0,08115;6,952;17,27;24,83
0,1048;10,69;20,47;25,0
0,1354;14,04;22,42;25,18
0,1748;20,20;24,92;24,97
0,2258;31,27;24,62;24,53
0,2916;33,67;23,99;25,0
0,3767;38,60;21,91;25,0
0,4865;42,73;19,16;25,0
0,6283;45,79;16,27;25,0
0,8115;47,90;13,54;25,02
1,048;49,28;11,16;25,05
1,354;50,12;9,099;25,12
1,748;50,64;7,469;25,23
2,258;51,24;6,101;25,37
2,916;51,27;5,052;25,52
3,767;51,70;4,163;25,68
4,865;51,59;3,396;25,84
6,283;52,34;3,119;26,12
8,115;52,32;2,621;26,21
10,48;52,56;2,199;26,29
13,54;52,80;1,820;26,33
17,48;52,27;1,492;26,35
22,58;53,14;2,504;26,33
29,16;52,20;2,324;26,29
37,67;52,44;2,388;26,23
48,65;61,72;34,36;26,14
62,83;81,23;3,325;26,03
