Ur30-3 w;Ur30-3 G1;Ur30-3 G2;Ur30-3 T
0,06283;0,07478;1,879;25,0
0,08115;0,1267;2,432;25,0
0,1048;0,2114;3,1439999999999997;25,0
0,1354;0,3514;4,0569999999999995;25,0
0,1748;0,5924;5,236000000000001;25,0
0,2258;0,9846;6,732;25,0
0,2916;1,619;8,576;25,0
0,3767;2,625;10,81;25,0
0,4865;4,18;13,42;25,0
0,6283;6,516;16,3;25,0
0,8115;9,872;19,25;25,0
1,048;14,35;21,81;25,0
1,354;19,69;23,52;25,0
1,7480000000000002;25,45;23,97;25,0
2,258;31,13;23,18;25,0
2,9160000000000004;36,24;21,39;25,0
3,767;40,37;18,96;25,0
4,865;43,38;16,17;25,0
6,2829999999999995;45,59;13,54;25,0
8,115;47,39;11,28;25,0
10,48;48,53;9,296;25,0
13,54;49,33;7,686;25,0
17,48;49,88;6,356;25,0
22,58;50,38;5,345;25,0
29,16;50,85;4,571000000000001;25,0
37,67;51,91;3,911;25,0
48,65;51,35;6,808;25,0
62,83;53,29;5,231;25,0
81,15;39,56;4,4239999999999995;25,0
104,8;15,09;2,9219999999999997;25,0
135,4;32,29;11,56;25,0
174,8;48,76;10,74;25,0
225,8;300,2;457,5;25,0
291,6;389,6;1228,0;25,0
