Ur5-2 w;Ur5-2 G1;Ur5-2 G2;Ur5-2 T
0,006283;0,001181;0,2716;25,0
0,008115;0,001904;0,3563;25,0
0,01048;0,003474;0,4685;25,0
0,01354;0,006206;0,6151;25,0
0,01748;0,01078;0,8058;25,0
0,02258;0,01862;1,053;25,0
0,02916;0,03198;1,373;25,0
0,03767;0,05451;1,788;25,0
0,04865;0,09102;2,322;25,0
0,06283;0,1537;3,010;25,0
0,08115;0,2564;3,896;25,0
0,1048;0,4275;5,033;25,0
0,1354;0,7073;6,480;25,0
0,1748;1,174;8,342;25,0
0,2258;1,921;10,62;25,0
0,2916;3,140;13,45;25,0
0,3767;5,042;16,79;25,0
0,4865;7,974;20,58;25,0
0,6283;12,14;24,41;25,0
0,8115;17,82;27,78;25,0
1,048;24,84;30,19;25,0
1,354;32,57;30,73;25,0
1,748;39,84;29,51;25,0
2,258;46,26;26,88;25,0
2,916;51,70;23,66;25,0
3,767;55,20;19,78;25,0
4,865;57,61;16,29;25,0
6,283;59,38;13,40;25,0
8,115;60,80;10,85;25,0
10,48;61,58;8,835;25,0
13,54;62,43;7,285;25,0
17,48;62,62;6,105;25,0
22,58;62,85;5,068;25,0
29,16;62,76;4,272;25,0
37,67;66,67;3,288;25,0
48,65;65,01;7,306;25,0
62,83;12,53;13,82;25,0
