Ur30-2 w;Ur30-2 G1;Ur30-2 G2;Ur30-2 T
0,06283;8,277000000000001;18,11;25,0
0,09222000000000001;14,75;22,09;25,0
0,1354;23,24;24,03;25,0
0,1987;31,84;22,95;25,0
0,2916;38,98;19,66;25,0
0,4281;43,9;15,54;25,0
0,6283;46,83;11,64;25,0
0,9222;48,56;8,427999999999999;25,0
1,354;49,37;6,044;25,0
1,9869999999999999;49,82;4,381;25,0
2,9160000000000004;50,13;3,272;25,0
4,281000000000001;50,04;2,5869999999999997;25,0
6,2829999999999995;50,71;2,011;25,0
9,222000000000001;50,76;1,771;25,0
13,54;50,17;1,8969999999999998;25,0
19,87;50,89;2,104;25,0
29,16;50,52;3,003;25,0
42,81;38,52;27,95;25,0
62,83;46,08;3,3169999999999997;25,0
