Ur15-2 w;Ur15-2 G1;Ur15-2 G2;Ur15-2 T
0,06283;3,7060000000000004;12,69;25,0
0,08115;5,879;15,55;25,0
0,1048;9,038;18,52;25,0
0,1354;13,4;21,23;25,0
0,1748;18,79;23,06;25,0
0,2258;24,65;23,53;25,0
0,2916;30,51;22,67;25,0
0,3767;35,5;20,59;25,0
0,4865;39,51;17,91;25,0
0,6283;42,43;15,09;25,0
0,8115;44,51;12,43;25,0
1,048;45,88;10,03;25,0
1,354;46,81;8,027000000000001;25,0
1,7480000000000002;47,31;6,4110000000000005;25,0
2,258;47,52;5,109;25,0
2,9160000000000004;48,35;4,128;25,0
3,767;48,41;3,391;25,0
4,865;47,78;2,785;25,0
6,2829999999999995;48,29;2,359;25,0
8,115;48,67;2,077;25,0
10,48;48,84;1,754;25,0
13,54;49,03;1,6640000000000001;25,0
17,48;49,4;1,33;25,0
22,58;48,38;1,307;25,0
29,16;53,7;1,095;25,0
37,67;23,37;11,07;25,0
48,65;42,86;18,35;25,0
62,83;63,08;36,76;25,0
