Ur15-3 w;Ur15-3 G1;Ur15-3 G2;Ur15-3 T
0,06283;0,4686;4,868;25,02
0,08115;0,8501;6,676;24,64
0,1048;1,263;7,963;25,0
0,1354;2,045;10,02;25,0
0,1748;3,099;12,12;25,12
0,2258;4,320;14,33;25,42
0,2916;9,830;20,21;24,23
0,3767;14,43;23,00;24,54
0,4865;18,35;24,61;24,96
0,6283;23,51;25,67;25,0
0,8115;29,69;25,62;25,0
1,048;35,54;24,32;25,0
1,354;40,72;21,93;25,0
1,748;44,80;19,12;25,0
2,258;47,90;16,25;25,0
2,916;49,63;13,37;25,0
3,767;51,11;10,99;25,0
4,865;52,49;8,944;25,0
6,283;53,22;7,231;25,0
8,115;53,59;5,928;25,0
10,48;53,93;4,994;25,0
13,54;54,28;4,202;25,0
17,48;54,11;3,848;25,0
22,58;54,67;3,414;25,0
29,16;55,39;2,755;25,0
37,67;52,85;5,451;25,0
48,65;55,86;9,444;25,0
62,83;76,64;11,48;25,0
