DMSO25-3 w;DMSO25-3 G1;DMSO25-3 G2;DMSO25-3 T
0,6283;0,04166;1,420;25,0
0,8115;0,06841;1,818;25,0
1,048;0,1143;2,346;25,0
1,354;0,1896;3,009;25,0
1,748;0,3146;3,876;25,0
2,258;0,5222;4,988;25,0
2,916;0,8701;6,400;25,0
3,767;1,437;8,177;25,0
4,865;2,356;10,35;25,0
6,283;3,822;12,93;25,0
8,115;6,011;15,84;25,0
10,48;9,225;18,90;25,0
13,54;13,56;21,70;25,0
17,48;18,99;23,64;25,0
22,58;25,01;24,27;25,0
29,16;30,93;23,57;25,0
37,67;37,11;20,87;25,0
48,65;42,80;20,24;25,0
62,83;54,87;18,52;25,0
81,15;55,76;16,88;25,0
104,8;62,59;8,269;25,0
135,4;65,59;21,32;25,0
174,8;48,23;73,15;25,0
225,8;20,11;1,299;25,0
291,6;636,6;31,93;25,0
