RH 25% DMSO	RH 25% DMSO	RH 25% DMSO
Conc	Eta	Erro
50,0309	5,5269	0,0849
58,7105	208,1086	0,5934
68,9623	193,4283	0,3511
82,2042	49,5427	0,1163
95,8637	13,8118	0,0568
114,0913	5,3929	0,0218
135,9637	3,1355	0,0193
161,0035	2,4663	0,0105
189,5338	2,4908	0,0240
223,3630	2,6740	0,0224
266,6783	2,8898	0,0247
311,3894	2,8076	0,0347
367,6671	1,8390	0,0497
