30% ureia	30% ureia	30% ureia
Conc	Eta	Erro
43,03294	0,37698	0,01685
49,47859	23,01919	0,23220
59,01901	305,94263	1,18776
70,95423	631,16077	3,03618
82,42624	715,36881	3,64635
100,80004	629,88316	2,28393
116,60188	462,21071	0,85336
136,45495	313,65340	0,12815
161,11958	138,32160	0,95557
189,34263	137,45166	0,67050
222,60774	102,70462	0,63821
262,21984	37,81029	0,30006
310,62399	21,51147	0,18724
367,86008	4,95439	0,06744
