RH 15% 1,3BD	RH 15% 1,3BD	RH 15% 1,3BD
Conc	Eta	Erro
4,88E+01	1,03E-01	-7,09E-04
5,77E+01	1,85E+00	1,14E-01
6,85E+01	4,63E+00	7,50E-02
8,21E+01	5,26E+00	1,07E-01
9,67E+01	5,02E+00	7,55E-02
1,14E+02	4,28E+00	5,12E-02
1,35E+02	3,45E+00	3,32E-02
1,59E+02	2,32E+00	3,95E-02
1,86E+02	1,92E+00	3,45E-02
2,20E+02	1,16E+00	8,69E-02
2,63E+02	6,63E-01	-1,72E-02
3,09E+02	3,80E-01	-6,05E-03
3,68E+02	1,57E-01	-5,08E-04
