Glicerina 45%	Glicerina 45%	Glicerina 45%
Conc	Eta	Erro
47,5986	2,2110	0,0000
55,1765	14,4600	0,0000
64,6093	29,1300	0,0000
75,2296	51,0100	0,0000
88,2990	37,8700	0,0000
102,2226	25,0600	0,0000
120,6051	15,6800	0,0000
140,5354	12,5400	0,0000
164,9998	11,5800	0,0000
193,5970	9,1620	0,0000
225,6618	8,7330	0,0000
261,2972	7,2500	0,0000
305,9774	3,4660	0,0000
355,7596	2,5270	0,0000
416,6017	1,0100	0,0000
485,2312	0,5510	0,0000
567,1538	0,1760	0,0000
