60% glicerina	60% glicerina	60% glicerina
Conc	Eta	Erro
42,7457	0,0575	0,0000
49,2111	0,0894	0,0000
57,5472	1,2360	0,0000
68,1434	2,2800	0,0000
79,5492	4,3330	0,0000
94,1107	4,0980	0,0000
108,2591	4,4850	0,0000
126,6577	3,4250	0,0000
149,1410	2,7220	0,0000
175,2943	2,1520	0,0000
204,3621	1,7710	0,0000
238,2371	1,3750	0,0000
297,9710	0,9390	0,0000
323,2574	0,6170	0,0000
378,7934	0,3570	0,0000
513,6231	0,1160	0,0000
