5% Ureia	5% Ureia	5% Ureia
Conc	Eta	Erro
30,74194	16,86941	0,28993
35,31588	259,84837	27,12484
44,42939	925,84866	6,36678
50,54244	1501,75816	9,29912
61,21412	1296,70146	11,10980
68,96552	1806,50846	8,44780
83,70567	216,84529	0,40377
98,73024	77,65868	0,39770
120,93331	52,16389	0,39183
132,01619	77,76604	0,30024
167,44397	156,83392	0,36575
194,51066	269,28366	1,09145
230,94245	309,05801	0,75091
265,62128	306,81035	1,44715
324,98269	95,80320	0,41776
370,97784	42,96156	0,22466
