Q(1/nm) TTAB100_norm_minus_branco1_norm.dat 
1.3431242E-01 7.8655536E+07 
1.4240868E-01 8.7160032E+07 
1.5050495E-01 8.9321072E+07 
1.5860121E-01 8.9245288E+07 
1.6669747E-01 8.9909024E+07 
1.7479375E-01 9.2637976E+07 
1.8289001E-01 9.5986320E+07 
1.9098628E-01 1.0033548E+08 
1.9908255E-01 1.0317745E+08 
2.0717882E-01 1.0514580E+08 
2.1527508E-01 1.0496467E+08 
2.2337136E-01 1.0286123E+08 
2.3146760E-01 9.8946472E+07 
2.3956388E-01 9.1658616E+07 
2.4766015E-01 8.1626616E+07 
2.5575641E-01 7.0560240E+07 
2.6385269E-01 5.9398336E+07 
2.7194893E-01 5.0203044E+07 
2.8004521E-01 4.1395732E+07 
2.8814149E-01 3.4355760E+07 
2.9623777E-01 2.8732222E+07 
3.0433401E-01 2.4506976E+07 
3.1243026E-01 2.1107732E+07 
3.2052654E-01 1.8744282E+07 
3.2862282E-01 1.7060576E+07 
3.3671910E-01 1.5555652E+07 
3.4481534E-01 1.4778657E+07 
3.5291159E-01 1.4247561E+07 
3.6100787E-01 1.3678175E+07 
3.6910415E-01 1.3552969E+07 
3.7720042E-01 1.3439834E+07 
3.8529667E-01 1.3375483E+07 
3.9339295E-01 1.3261044E+07 
4.0148920E-01 1.3221630E+07 
4.0958548E-01 1.3312869E+07 
4.1768175E-01 1.3385558E+07 
4.2577800E-01 1.3320704E+07 
4.3387428E-01 1.3073520E+07 
4.4197056E-01 1.2908893E+07 
4.5006680E-01 1.2600683E+07 
4.5816308E-01 1.2179299E+07 
4.6625933E-01 1.1847068E+07 
4.7435561E-01 1.1247377E+07 
4.8245189E-01 1.0650498E+07 
4.9054813E-01 9.9624790E+06 
4.9864441E-01 9.2726700E+06 
5.0674069E-01 8.7106760E+06 
5.1483691E-01 7.9377370E+06 
5.2293324E-01 7.3469230E+06 
5.3102946E-01 6.7799190E+06 
5.3912574E-01 6.2914550E+06 
5.4722202E-01 5.8154715E+06 
5.5531824E-01 5.4901740E+06 
5.6341457E-01 5.2130700E+06 
5.7151079E-01 4.9165095E+06 
5.7960707E-01 4.5785795E+06 
5.8770335E-01 4.4824945E+06 
5.9579957E-01 4.2559030E+06 
6.0389590E-01 4.1409638E+06 
6.1199212E-01 4.0493135E+06 
6.2008840E-01 3.8769098E+06 
6.2818468E-01 3.7897300E+06 
6.3628095E-01 3.6693440E+06 
6.4437723E-01 3.6595102E+06 
6.5247345E-01 3.5411055E+06 
6.6056973E-01 3.5211788E+06 
6.6866601E-01 3.4833880E+06 
6.7676228E-01 3.3288942E+06 
6.8485856E-01 3.2073880E+06 
6.9295478E-01 3.0902745E+06 
7.0105106E-01 2.9404420E+06 
7.0914733E-01 2.8350770E+06 
7.1724361E-01 2.7932470E+06 
7.2533989E-01 2.6587420E+06 
7.3343617E-01 2.5961010E+06 
7.4153239E-01 2.4923718E+06 
7.4962866E-01 2.4062920E+06 
7.5772494E-01 2.2429622E+06 
7.6582122E-01 2.1534045E+06 
7.7391750E-01 2.0635986E+06 
7.8201371E-01 2.0299852E+06 
7.9010999E-01 1.9447679E+06 
7.9820627E-01 1.8540561E+06 
8.0630255E-01 1.7678488E+06 
8.1439883E-01 1.6906850E+06 
8.2249504E-01 1.6583614E+06 
8.3059132E-01 1.6355769E+06 
8.3868760E-01 1.6086392E+06 
8.4678388E-01 1.5257778E+06 
8.5488015E-01 1.4278119E+06 
8.6297643E-01 1.4173158E+06 
8.7107265E-01 1.4481719E+06 
8.7916893E-01 1.4107576E+06 
8.8726521E-01 1.3594090E+06 
8.9536148E-01 1.3093989E+06 
9.0345776E-01 1.3357206E+06 
9.1155398E-01 1.2760526E+06 
9.1965026E-01 1.2164116E+06 
9.2774653E-01 1.2152151E+06 
9.3584281E-01 1.1923769E+06 
9.4393909E-01 1.1339678E+06 
9.5203531E-01 1.1171701E+06 
9.6013159E-01 1.1117476E+06 
9.6822786E-01 1.0959034E+06 
9.7632414E-01 1.0728039E+06 
9.8442042E-01 1.0552806E+06 
9.9251670E-01 1.0346189E+06 
1.0006130E+00 1.0406196E+06 
1.0087092E+00 9.5369956E+05 
1.0168054E+00 9.6186600E+05 
1.0249017E+00 9.6990519E+05 
1.0329981E+00 9.5637275E+05 
1.0410943E+00 9.3785925E+05 
1.0491905E+00 9.7182738E+05 
1.0572867E+00 9.2379438E+05 
1.0653831E+00 8.9887706E+05 
1.0734794E+00 9.0071156E+05 
1.0815756E+00 9.3952550E+05 
1.0896719E+00 9.0266975E+05 
1.0977681E+00 9.0250019E+05 
1.1058644E+00 8.8658519E+05 
