Q(1/nm) DTAB300_norm_minus_branco1_norm.dat 
1.3431242E-01 5.4835060E+07 
1.4240868E-01 4.7249240E+07 
1.5050495E-01 4.1742720E+07 
1.5860121E-01 3.5286040E+07 
1.6669747E-01 3.1065738E+07 
1.7479375E-01 2.7850074E+07 
1.8289001E-01 2.5137546E+07 
1.9098628E-01 2.2669818E+07 
1.9908255E-01 2.0536498E+07 
2.0717882E-01 1.8966368E+07 
2.1527508E-01 1.7582018E+07 
2.2337136E-01 1.6119756E+07 
2.3146760E-01 1.5450331E+07 
2.3956388E-01 1.4434045E+07 
2.4766015E-01 1.3793275E+07 
2.5575641E-01 1.3147410E+07 
2.6385269E-01 1.2505999E+07 
2.7194893E-01 1.2131916E+07 
2.8004521E-01 1.1700266E+07 
2.8814149E-01 1.1006585E+07 
2.9623777E-01 1.1076856E+07 
3.0433401E-01 1.0923168E+07 
3.1243026E-01 1.0804414E+07 
3.2052654E-01 1.0294348E+07 
3.2862282E-01 1.0558859E+07 
3.3671910E-01 1.0329901E+07 
3.4481534E-01 1.0214306E+07 
3.5291159E-01 1.0348984E+07 
3.6100787E-01 1.0511785E+07 
3.6910415E-01 1.0989781E+07 
3.7720042E-01 1.1409523E+07 
3.8529667E-01 1.1911337E+07 
3.9339295E-01 1.2821921E+07 
4.0148920E-01 1.3976074E+07 
4.0958548E-01 1.5868779E+07 
4.1768175E-01 1.8415276E+07 
4.2577800E-01 2.2601430E+07 
4.3387428E-01 2.8744380E+07 
4.4197056E-01 4.0470260E+07 
4.5006680E-01 6.1654308E+07 
4.5816308E-01 1.0612936E+08 
4.6625933E-01 1.9573382E+08 
4.7435561E-01 3.0692048E+08 
4.8245189E-01 3.6868074E+08 
4.9054813E-01 3.0471517E+08 
4.9864441E-01 1.8130464E+08 
5.0674069E-01 9.9887280E+07 
5.1483691E-01 5.5300184E+07 
5.2293324E-01 3.2141788E+07 
5.3102946E-01 2.0022748E+07 
5.3912574E-01 1.3518253E+07 
5.4722202E-01 1.0006075E+07 
5.5531824E-01 7.8814050E+06 
5.6341457E-01 6.6724890E+06 
5.7151079E-01 5.8223145E+06 
5.7960707E-01 5.1912160E+06 
5.8770335E-01 4.7070165E+06 
5.9579957E-01 4.3139865E+06 
6.0389590E-01 4.0465922E+06 
6.1199212E-01 3.9295970E+06 
6.2008840E-01 3.7763115E+06 
6.2818468E-01 3.6967068E+06 
6.3628095E-01 3.4555258E+06 
6.4437723E-01 3.3206082E+06 
6.5247345E-01 3.2613620E+06 
6.6056973E-01 3.2466130E+06 
6.6866601E-01 3.2110735E+06 
6.7676228E-01 3.0965602E+06 
6.8485856E-01 3.0511520E+06 
6.9295478E-01 2.9722235E+06 
7.0105106E-01 2.9522558E+06 
7.0914733E-01 2.9778770E+06 
7.1724361E-01 2.9002150E+06 
7.2533989E-01 2.8778485E+06 
7.3343617E-01 2.7970092E+06 
7.4153239E-01 2.8165742E+06 
7.4962866E-01 2.9112292E+06 
7.5772494E-01 2.7603765E+06 
7.6582122E-01 2.6486328E+06 
7.7391750E-01 2.7130525E+06 
7.8201371E-01 2.8394045E+06 
7.9010999E-01 2.8252698E+06 
7.9820627E-01 2.7530625E+06 
8.0630255E-01 2.6990995E+06 
8.1439883E-01 2.7240315E+06 
8.2249504E-01 2.7399390E+06 
8.3059132E-01 2.7540288E+06 
8.3868760E-01 2.7798125E+06 
8.4678388E-01 2.7632650E+06 
8.5488015E-01 2.7879225E+06 
8.6297643E-01 2.8743650E+06 
8.7107265E-01 2.8157220E+06 
8.7916893E-01 2.9387808E+06 
8.8726521E-01 3.0247612E+06 
8.9536148E-01 3.1706010E+06 
9.0345776E-01 3.3538155E+06 
9.1155398E-01 3.5678748E+06 
9.1965026E-01 3.8736910E+06 
9.2774653E-01 4.3707335E+06 
9.3584281E-01 5.2623660E+06 
9.4393909E-01 7.2770310E+06 
9.5203531E-01 1.0571956E+07 
9.6013159E-01 1.5018940E+07 
9.6822786E-01 1.7801608E+07 
9.7632414E-01 1.6151807E+07 
9.8442042E-01 1.1665786E+07 
9.9251670E-01 7.6861600E+06 
1.0006130E+00 5.2752090E+06 
1.0087092E+00 3.9239745E+06 
1.0168054E+00 3.2746938E+06 
1.0249017E+00 2.8292780E+06 
1.0329981E+00 2.6161405E+06 
1.0410943E+00 2.4206722E+06 
1.0491905E+00 2.3959732E+06 
1.0572867E+00 2.2946878E+06 
1.0653831E+00 2.2866558E+06 
1.0734794E+00 2.2640950E+06 
1.0815756E+00 2.2389278E+06 
1.0896719E+00 2.1492990E+06 
1.0977681E+00 2.0991890E+06 
1.1058644E+00 2.1024670E+06 
1.1139607E+00 2.1381595E+06 
1.1220570E+00 2.0682878E+06 
1.1301532E+00 2.0374082E+06 
1.1382495E+00 2.0143485E+06 
1.1463457E+00 2.0023139E+06 
1.1544420E+00 2.0257748E+06 
1.1625383E+00 2.0801962E+06 
1.1706345E+00 2.0170498E+06 
1.1787308E+00 1.9807461E+06 
1.1868271E+00 1.9572459E+06 
1.1949233E+00 1.8948785E+06 
1.2030196E+00 1.9144364E+06 
1.2111158E+00 1.9494821E+06 
1.2192122E+00 1.9574804E+06 
1.2273084E+00 1.8984374E+06 
1.2354046E+00 1.8221898E+06 
1.2435009E+00 1.8457978E+06 
1.2515972E+00 1.8955379E+06 
1.2596935E+00 1.9315461E+06 
1.2677897E+00 1.8748704E+06 
1.2758859E+00 1.8977218E+06 
1.2839823E+00 1.8767701E+06 
1.2920785E+00 1.8780155E+06 
1.3001748E+00 1.9134982E+06 
1.3082711E+00 1.9169026E+06 
1.3163674E+00 1.8778184E+06 
1.3244636E+00 1.8740978E+06 
1.3325598E+00 1.9263545E+06 
1.3406562E+00 1.8657692E+06 
1.3487524E+00 1.8539944E+06 
1.3568487E+00 1.9011805E+06 
1.3649449E+00 1.8819295E+06 
1.3730412E+00 1.7633618E+06 
1.3811375E+00 1.8144239E+06 
1.3892337E+00 1.8320799E+06 
1.3973300E+00 1.8053096E+06 
1.4054263E+00 1.8210114E+06 
1.4135225E+00 1.8313096E+06 
1.4216188E+00 1.8300839E+06 
1.4297150E+00 1.8256766E+06 
1.4378114E+00 1.8618439E+06 
1.4459076E+00 1.9357682E+06 
1.4540038E+00 1.9812069E+06 
1.4621001E+00 2.0289145E+06 
1.4701964E+00 2.0284501E+06 
1.4782927E+00 1.9237930E+06 
1.4863889E+00 1.8487855E+06 
1.4944851E+00 1.8372781E+06 
1.5025815E+00 1.8111110E+06 
1.5106777E+00 1.8297210E+06 
1.5187740E+00 1.8021596E+06 
1.5268703E+00 1.7752329E+06 
1.5349665E+00 1.6998299E+06 
1.5430628E+00 1.7125888E+06 
1.5511590E+00 1.7067902E+06 
1.5592554E+00 1.7444860E+06 
1.5673516E+00 1.7516742E+06 
1.5754479E+00 1.7592969E+06 
1.5835441E+00 1.6742204E+06 
1.5916404E+00 1.7359469E+06 
1.5997367E+00 1.7154671E+06 
1.6078329E+00 1.7109131E+06 
1.6159292E+00 1.7147754E+06 
1.6240255E+00 1.6779306E+06 
1.6321217E+00 1.6898836E+06 
1.6402180E+00 1.7329364E+06 
1.6483142E+00 1.7171944E+06 
1.6564106E+00 1.6936489E+06 
1.6645068E+00 1.6919291E+06 
1.6726030E+00 1.6478188E+06 
1.6806993E+00 1.6601646E+06 
1.6887956E+00 1.6778888E+06 
1.6968919E+00 1.6619981E+06 
1.7049881E+00 1.6699016E+06 
1.7130843E+00 1.6880989E+06 
1.7211807E+00 1.7196466E+06 
1.7292769E+00 1.6402170E+06 
1.7373732E+00 1.6261861E+06 
1.7454695E+00 1.6542388E+06 
1.7535657E+00 1.6925588E+06 
1.7616620E+00 1.6656639E+06 
1.7697582E+00 1.6626518E+06 
1.7778546E+00 1.6325745E+06 
1.7859508E+00 1.6975645E+06 
1.7940470E+00 1.6847890E+06 
1.8021433E+00 1.6848390E+06 
1.8102396E+00 1.6608406E+06 
1.8183359E+00 1.6987709E+06 
1.8264321E+00 1.6866201E+06 
1.8345284E+00 1.7139309E+06 
1.8426247E+00 1.7346401E+06 
1.8507209E+00 1.7113204E+06 
1.8588172E+00 1.6338736E+06 
1.8669134E+00 1.7097832E+06 
1.8750098E+00 1.7662799E+06 
1.8831060E+00 1.7770529E+06 
1.8912022E+00 1.8682735E+06 
1.8992985E+00 1.9381439E+06 
1.9073948E+00 2.0703519E+06 
1.9154911E+00 2.2606288E+06 
1.9235873E+00 2.4364482E+06 
1.9316835E+00 2.7999602E+06 
1.9397799E+00 3.1411922E+06 
1.9478761E+00 3.2074822E+06 
1.9559724E+00 3.1192982E+06 
1.9640687E+00 2.7589090E+06 
1.9721649E+00 2.4776642E+06 
1.9802612E+00 2.2504270E+06 
1.9883574E+00 2.0706111E+06 
1.9964538E+00 1.9282565E+06 
2.0045500E+00 1.8863018E+06 
2.0126462E+00 1.8348951E+06 
2.0207424E+00 1.7923091E+06 
2.0288386E+00 1.7416129E+06 
2.0369351E+00 1.7350145E+06 
2.0450313E+00 1.6785928E+06 
2.0531275E+00 1.7290999E+06 
2.0612240E+00 1.6425270E+06 
2.0693202E+00 1.5978520E+06 
2.0774164E+00 1.6325871E+06 
2.0855126E+00 1.6849189E+06 
2.0936089E+00 1.6244181E+06 
2.1017051E+00 1.6164232E+06 
2.1098013E+00 1.6303816E+06 
2.1178977E+00 1.6782806E+06 
2.1259940E+00 1.6302744E+06 
2.1340902E+00 1.6149640E+06 
2.1421864E+00 1.6612654E+06 
2.1502829E+00 1.6585586E+06 
2.1583791E+00 1.6359674E+06 
2.1664753E+00 1.6161848E+06 
2.1745715E+00 1.6378374E+06 
2.1826677E+00 1.6171842E+06 
2.1907642E+00 1.6674341E+06 
2.1988604E+00 1.6571850E+06 
2.2069566E+00 1.6348609E+06 
2.2150528E+00 1.6084799E+06 
2.2231493E+00 1.6147950E+06 
2.2312455E+00 1.6218978E+06 
2.2393417E+00 1.5927682E+06 
2.2474380E+00 1.6223285E+06 
2.2555342E+00 1.5931421E+06 
2.2636306E+00 1.5950812E+06 
2.2717268E+00 1.6649886E+06 
2.2798231E+00 1.6685571E+06 
2.2879193E+00 1.6337196E+06 
2.2960155E+00 1.6325302E+06 
2.3041120E+00 1.6704234E+06 
2.3122082E+00 1.6864245E+06 
2.3203044E+00 1.6703498E+06 
2.3284006E+00 1.7047408E+06 
2.3364968E+00 1.6628942E+06 
2.3445933E+00 1.7012129E+06 
2.3526895E+00 1.7692138E+06 
2.3607857E+00 1.7797890E+06 
2.3688819E+00 1.7695159E+06 
2.3769782E+00 1.8300999E+06 
2.3850746E+00 1.8803656E+06 
2.3931708E+00 1.9803738E+06 
2.4012671E+00 2.1560510E+06 
2.4093633E+00 2.3667958E+06 
2.4174595E+00 2.5817570E+06 
2.4255559E+00 2.8260530E+06 
2.4336522E+00 2.9112500E+06 
2.4417484E+00 2.7473720E+06 
2.4498446E+00 2.5767775E+06 
2.4579408E+00 2.2853118E+06 
2.4660373E+00 2.1124802E+06 
2.4741335E+00 2.0068548E+06 
2.4822297E+00 1.8517760E+06 
2.4903259E+00 1.7501611E+06 
2.4984221E+00 1.6838495E+06 
2.5065186E+00 1.6695354E+06 
2.5146148E+00 1.6725030E+06 
2.5227110E+00 1.6227791E+06 
2.5308073E+00 1.6171696E+06 
2.5389035E+00 1.5878415E+06 
2.5469999E+00 1.6278614E+06 
2.5550961E+00 1.5518179E+06 
2.5631924E+00 1.5038822E+06 
2.5712886E+00 1.5703059E+06 
2.5793848E+00 1.5206169E+06 
2.5874813E+00 1.5068588E+06 
2.5955775E+00 1.4933445E+06 
2.6036737E+00 1.5105278E+06 
2.6117699E+00 1.5296015E+06 
2.6198661E+00 1.5139479E+06 
2.6279626E+00 1.4410802E+06 
2.6360588E+00 1.4111390E+06 
2.6441550E+00 1.4662945E+06 
2.6522512E+00 1.4785789E+06 
2.6603475E+00 1.4744518E+06 
2.6684439E+00 1.4545320E+06 
2.6765401E+00 1.4422642E+06 
2.6846364E+00 1.4438796E+06 
2.6927326E+00 1.4462796E+06 
2.7008288E+00 1.4596989E+06 
2.7089252E+00 1.4587199E+06 
2.7170215E+00 1.4584030E+06 
2.7251177E+00 1.5090718E+06 
2.7332139E+00 1.4205836E+06 
2.7413104E+00 1.4179190E+06 
2.7494066E+00 1.4059441E+06 
2.7575028E+00 1.3870432E+06 
2.7655990E+00 1.4025118E+06 
2.7736952E+00 1.4484632E+06 
2.7817917E+00 1.4335251E+06 
2.7898879E+00 1.3783475E+06 
2.7979841E+00 1.4347985E+06 
2.8060803E+00 1.4168750E+06 
2.8141766E+00 1.4223232E+06 
2.8222730E+00 1.4407946E+06 
2.8303692E+00 1.3975608E+06 
2.8384655E+00 1.4174415E+06 
2.8465617E+00 1.4381426E+06 
2.8546579E+00 1.4523502E+06 
2.8627543E+00 1.4621586E+06 
2.8708506E+00 1.4300024E+06 
2.8789468E+00 1.5192389E+06 
2.8870430E+00 1.4781112E+06 
2.8951392E+00 1.5074056E+06 
2.9032357E+00 1.5224375E+06 
2.9113319E+00 1.5467436E+06 
2.9194281E+00 1.5588934E+06 
2.9275243E+00 1.5794159E+06 
2.9356205E+00 1.5330212E+06 
2.9437170E+00 1.5147914E+06 
2.9518132E+00 1.5100948E+06 
2.9599094E+00 1.4427051E+06 
2.9680057E+00 1.4677495E+06 
2.9761019E+00 1.4389532E+06 
2.9841983E+00 1.3505314E+06 
2.9922945E+00 1.3731925E+06 
3.0003908E+00 1.3416948E+06 
3.0084870E+00 1.3617979E+06 
3.0165832E+00 1.3506484E+06 
3.0246797E+00 1.3772621E+06 
3.0327759E+00 1.3752690E+06 
3.0408721E+00 1.3876620E+06 
3.0489683E+00 1.3860360E+06 
3.0570645E+00 1.3318470E+06 
3.0651610E+00 1.3524458E+06 
3.0732572E+00 1.3863556E+06 
3.0813534E+00 1.3484101E+06 
3.0894496E+00 1.3532020E+06 
3.0975459E+00 1.3935458E+06 
3.1056423E+00 1.3601515E+06 
3.1137385E+00 1.3132944E+06 
3.1218348E+00 1.3682544E+06 
3.1299310E+00 1.3007375E+06 
3.1380272E+00 1.2783880E+06 
3.1461236E+00 1.3097900E+06 
3.1542199E+00 1.3507870E+06 
3.1623161E+00 1.3239786E+06 
3.1704123E+00 1.3335676E+06 
3.1785085E+00 1.2868335E+06 
3.1866050E+00 1.3216840E+06 
3.1947012E+00 1.3475096E+06 
3.2027974E+00 1.2561762E+06 
3.2108936E+00 1.2336984E+06 
3.2189898E+00 1.2852178E+06 
3.2270863E+00 1.3082024E+06 
3.2351825E+00 1.3318628E+06 
3.2432787E+00 1.3157800E+06 
3.2513750E+00 1.2606286E+06 
